frame_id,point_id,x,y,z,doppler,snr,noise
1,1,5.6535,1.8571,-5.6535,0,277,565
1,2,1.9664,4.0171,6.8825,0,277,565
1,3,2.6336,6.5316,5.2672,0,256,618
1,4,-2.7214,4.603,7.3478,0,156,688
2,1,5.4077,2.4835,-5.6535,0,276,567
2,2,1.9664,4.0171,6.8825,0,276,567
2,3,2.897,6.6265,5.0039,0,250,621
2,4,-2.7214,4.603,7.3478,0,154,690
2,5,0.3555,0.7475,1.0271,-6.3716,290,559
3,1,5.4077,2.4835,-5.6535,0,291,551
3,2,1.7206,3.6878,7.1283,0,291,551
3,3,2.897,6.4191,5.2672,0,262,610
3,4,-2.7214,4.603,7.3478,0,159,684
4,1,5.6535,1.8571,-5.6535,0,278,564
4,2,1.9664,4.0171,6.8825,0,278,564
4,3,2.897,6.6265,5.0039,0,248,623
4,4,-2.7214,4.603,7.3478,0,159,686
5,1,5.4077,2.4835,-5.6535,0,302,542
5,2,1.7206,3.6878,7.1283,0,302,542
5,3,2.897,6.6265,5.0039,0,272,601
5,4,-2.9935,3.9445,7.6199,0,169,676
12,1,5.6535,1.8571,-5.6535,0,294,548
12,2,1.7206,3.6878,7.1283,0,294,548
12,3,2.897,6.6265,5.0039,0,257,615
10,1,5.4077,2.4835,-5.6535,0,284,557
10,2,1.7206,3.6878,7.1283,0,284,557
10,3,2.897,6.4191,5.2672,0,259,613
10,4,-2.9935,3.9445,7.6199,0,154,688
14,1,5.4077,2.4835,-5.6535,0,297,545
14,2,1.7206,3.6878,7.1283,0,297,545
14,3,2.897,6.6265,5.0039,0,253,619
14,4,-0.7901,8.6593,1.3168,0,253,619
14,5,-2.7214,4.603,7.3478,0,155,689
15,1,-0.1844,1.5848,-1.2905,0,152,633
15,2,0.676,1.736,-0.8603,0,152,633
15,3,5.6535,1.8571,-5.6535,0,276,567
15,4,1.7206,3.6878,7.1283,0,276,567
15,5,2.897,6.6265,5.0039,0,252,619
15,6,-2.7214,4.603,7.3478,0,159,686
16,1,2.897,6.6265,5.0039,0,255,618
16,2,-2.9935,3.9445,7.6199,0,159,685
17,1,5.4077,2.4835,-5.6535,0,289,552
17,2,1.7206,3.6878,7.1283,0,289,552
17,3,2.897,6.6265,5.0039,0,259,613
17,4,-2.7214,4.603,7.3478,0,163,678
18,1,5.4077,2.4835,-5.6535,0,291,549
18,2,1.7206,3.6878,7.1283,0,291,549
18,3,2.897,6.6265,5.0039,0,262,610
18,4,-2.7214,4.603,7.3478,0,167,675
19,1,5.4077,2.4835,-5.6535,0,281,561
19,2,1.7206,3.6878,7.1283,0,281,561
19,3,2.897,6.6265,5.0039,0,256,616
19,4,-2.7214,4.603,7.3478,0,157,686
20,1,5.4077,2.4835,-5.6535,0,287,555
20,2,1.7206,3.6878,7.1283,0,287,555
20,3,2.897,6.6265,5.0039,0,256,616
20,4,-0.7901,8.6593,1.3168,0,256,616
20,5,-2.7214,4.603,7.3478,0,157,686
21,1,5.4077,2.4835,-5.6535,0,288,554
21,2,1.7206,3.6878,7.1283,0,288,554
21,3,2.897,6.6265,5.0039,0,257,616
22,1,5.6535,1.8571,-5.6535,0,289,552
22,2,1.7206,3.6878,7.1283,0,289,552
22,3,2.897,6.6265,5.0039,0,259,613
22,4,-2.7214,4.603,7.3478,0,166,676
23,1,5.4077,2.4835,-5.6535,0,289,553
23,2,1.7206,3.6878,7.1283,0,289,553
23,3,2.897,6.6265,5.0039,0,251,620
23,4,-2.7214,4.603,7.3478,0,158,684
24,1,2.897,6.6265,5.0039,0,254,618
24,2,-2.7214,4.603,7.3478,0,159,683
25,1,5.4077,2.4835,-5.6535,0,295,546
25,2,1.7206,3.6878,7.1283,0,295,546
25,3,2.897,6.6265,5.0039,0,257,615
25,4,-2.7214,4.603,7.3478,0,155,688
26,1,-0.1844,1.5848,-1.2905,0,156,631
26,2,0.676,1.5462,-1.1676,0,156,631
26,3,5.4077,2.4835,-5.6535,0,281,561
26,4,1.7206,3.6878,7.1283,0,281,561
26,5,2.897,6.6265,5.0039,0,256,616
26,6,-2.9935,3.9445,7.6199,0,158,686
27,1,5.6535,1.8571,-5.6535,0,285,555
27,2,1.7206,3.6878,7.1283,0,285,555
27,3,2.897,6.6265,5.0039,0,257,615
27,4,-2.7214,4.603,7.3478,0,167,676
28,1,2.897,6.6265,5.0039,0,264,609
28,2,-2.7214,4.603,7.3478,0,160,682
29,1,2.897,6.6265,5.0039,0,257,615
29,2,-2.7214,4.603,7.3478,0,164,682
30,1,5.4077,2.4835,-5.6535,0,291,551
30,2,1.7206,3.6878,7.1283,0,291,551
30,3,2.897,6.6265,5.0039,0,259,612
30,4,-2.9935,3.9445,7.6199,0,152,692
31,1,5.6535,1.8571,-5.6535,0,271,571
31,2,1.7206,3.6878,7.1283,0,271,571
31,3,2.897,6.6265,5.0039,0,248,624
31,4,-0.7901,8.6593,1.3168,0,248,624
31,5,-2.7214,4.603,7.3478,0,151,692
32,1,5.4077,2.4835,-5.6535,0,278,565
32,2,1.7206,3.6878,7.1283,0,278,565
32,3,2.897,6.6265,5.0039,0,252,621
32,4,-2.7214,4.603,7.3478,0,160,684
33,1,5.4077,2.4835,-5.6535,0,284,556
33,2,1.7206,3.6878,7.1283,0,284,556
33,3,2.897,6.6265,5.0039,0,261,611
33,4,-0.7901,8.6593,1.3168,0,261,611
33,5,-2.9935,3.9445,7.6199,0,162,682
34,1,5.4077,2.4835,-5.6535,0,266,574
34,2,1.7206,3.6878,7.1283,0,266,574
34,3,2.897,6.6265,5.0039,0,242,629
34,4,-2.9935,3.9445,7.6199,0,151,693
35,1,2.897,6.6265,5.0039,0,239,632
36,1,5.4077,2.4835,-5.6535,0,281,562
36,2,1.7206,3.6878,7.1283,0,281,562
36,3,2.897,6.6265,5.0039,0,251,621
36,4,-2.7214,4.603,7.3478,0,155,690
37,1,5.4077,2.4835,-5.6535,0,297,544
37,2,1.7206,3.6878,7.1283,0,297,544
37,3,2.897,6.6265,5.0039,0,255,617
37,4,-2.9935,3.9445,7.6199,0,160,682
38,1,5.6535,1.8571,-5.6535,0,279,562
38,2,1.7206,3.6878,7.1283,0,279,562
38,3,2.897,6.6265,5.0039,0,252,619
38,4,-0.7901,8.6593,1.3168,0,252,619
38,5,-2.7214,4.603,7.3478,0,157,688
39,1,5.4077,2.4835,-5.6535,0,285,556
39,2,1.7206,3.6878,7.1283,0,285,556
39,3,2.897,6.6265,5.0039,0,258,613
39,4,-0.5267,8.7152,1.0534,0,258,613
39,5,-2.7214,4.603,7.3478,0,166,677
40,1,2.897,6.6265,5.0039,0,254,618
41,1,5.4077,2.4835,-5.6535,0,281,559
41,2,1.7206,3.6878,7.1283,0,281,559
41,3,2.897,6.6265,5.0039,0,257,614
41,4,-2.7214,4.603,7.3478,0,159,683
42,1,5.4077,2.4835,-5.6535,0,271,571
42,2,1.7206,3.6878,7.1283,0,271,571
42,3,2.897,6.6265,5.0039,0,254,618
42,4,-2.7214,4.603,7.3478,0,159,684
43,1,5.4077,2.4835,-5.6535,0,292,547
43,2,1.7206,3.6878,7.1283,0,292,547
43,3,2.897,6.4191,5.2672,0,258,613
43,4,-0.7901,8.6593,1.3168,0,258,613
43,5,-2.7214,4.603,7.3478,0,167,676
44,1,5.4077,2.4835,-5.6535,0,289,553
44,2,1.7206,3.6878,7.1283,0,289,553
44,3,2.897,6.6265,5.0039,0,255,617
44,4,-2.7214,4.603,7.3478,0,163,680
45,1,2.897,6.6265,5.0039,0,251,621
45,2,-2.7214,4.603,7.3478,0,158,685
46,1,5.4077,2.4835,-5.6535,0,280,559
46,2,1.7206,3.6878,7.1283,0,280,559
46,3,2.897,6.6265,5.0039,0,263,607
46,4,-2.7214,4.603,7.3478,0,164,678
47,1,5.4077,2.4835,-5.6535,0,284,558
47,2,1.7206,3.6878,7.1283,0,284,558
47,3,2.897,6.6265,5.0039,0,263,609
47,4,-2.7214,4.603,7.3478,0,160,686
48,1,5.4077,2.4835,-5.6535,0,276,564
48,2,1.7206,3.6878,7.1283,0,276,564
48,3,2.897,6.6265,5.0039,0,261,609
48,4,-2.9935,3.9445,7.6199,0,163,680
49,1,5.4077,2.4835,-5.6535,0,305,534
