frame_id,point_id,x,y,z,doppler,snr,noise
323,1,5.4077,2.4835,-5.6535,0,291,547
323,2,1.7206,3.6878,7.1283,0,291,547
323,3,2.897,6.4191,5.2672,0,255,611
323,4,-2.7214,4.603,7.3478,0,158,683
1,1,5.6535,1.8571,-5.6535,0,289,549
1,2,1.7206,3.6878,7.1283,0,289,549
1,3,2.897,6.4191,5.2672,0,259,606
1,4,-2.9935,3.9445,7.6199,0,161,681
2,1,5.4077,2.4835,-5.6535,0,268,569
2,2,1.7206,3.6878,7.1283,0,268,569
2,3,2.897,6.4191,5.2672,0,254,612
2,4,-2.9935,3.9445,7.6199,0,161,682
3,1,5.6535,1.8571,-5.6535,0,268,572
3,2,1.7206,3.6878,7.1283,0,268,572
3,3,2.6336,6.5316,5.2672,0,246,620
3,4,-2.9935,3.9445,7.6199,0,158,682
4,1,5.4077,2.4835,-5.6535,0,283,556
4,2,1.7206,3.6878,7.1283,0,283,556
4,3,2.897,6.4191,5.2672,0,245,621
4,4,-2.9935,3.9445,7.6199,0,151,691
5,1,5.4077,2.4835,-5.6535,0,286,553
5,2,1.7206,4.1284,6.8825,0,286,553
5,3,2.897,6.4191,5.2672,0,250,615
5,4,-2.7214,4.603,7.3478,0,159,683
12,1,5.4077,2.9811,-5.4077,0,266,573
12,2,1.7206,3.6878,7.1283,0,266,573
12,3,2.6336,6.5316,5.2672,0,238,628
10,1,5.4077,2.4835,-5.6535,0,285,553
10,2,1.7206,3.6878,7.1283,0,285,553
10,3,-5.6535,4.8548,-3.4413,0,285,553
10,4,2.897,6.4191,5.2672,0,253,613
10,5,-2.9935,3.9445,7.6199,0,161,681
14,1,5.6535,1.8571,-5.6535,0,285,554
14,2,1.7206,3.6878,7.1283,0,285,554
14,3,2.897,6.4191,5.2672,0,250,616
14,4,-2.9935,3.9445,7.6199,0,165,676
15,1,1.7206,3.6878,7.1283,0,290,553
15,2,5.4077,2.9811,-5.4077,0,290,553
15,3,2.897,6.4191,5.2672,0,260,606
15,4,-2.7214,4.603,7.3478,0,165,675
16,1,5.4077,2.4835,-5.6535,0,277,563
16,2,1.7206,3.6878,7.1283,0,277,563
16,3,2.6336,6.5316,5.2672,0,240,625
17,1,2.897,6.4191,5.2672,0,244,622
17,2,-2.9935,3.9445,7.6199,0,154,689
18,1,5.4077,2.4835,-5.6535,0,271,569
18,2,1.7206,3.6878,7.1283,0,271,569
18,3,2.6336,6.3102,5.5306,0,240,626
18,4,-2.9935,3.9445,7.6199,0,156,688
19,1,5.4077,2.4835,-5.6535,0,282,558
19,2,1.7206,3.6878,7.1283,0,282,558
19,3,2.897,6.4191,5.2672,0,246,618
19,4,-2.9935,3.9445,7.6199,0,150,691
20,1,2.897,6.4191,5.2672,0,254,610
20,2,-2.9935,4.4308,7.3478,0,163,678
21,1,2.897,6.4191,5.2672,0,244,623
21,2,-2.9935,3.9445,7.6199,0,157,686
22,1,2.897,6.4191,5.2672,0,234,632
23,1,5.4077,2.4835,-5.6535,0,291,546
23,2,1.7206,3.6878,7.1283,0,291,546
23,3,2.6336,6.3102,5.5306,0,255,612
23,4,-2.9935,3.9445,7.6199,0,161,681
24,1,5.4077,2.4835,-5.6535,0,281,557
24,2,1.7206,3.6878,7.1283,0,281,557
24,3,2.897,6.4191,5.2672,0,260,605
24,4,-2.9935,4.4308,7.3478,0,167,673
25,1,5.4077,2.4835,-5.6535,0,277,562
25,2,1.7206,3.6878,7.1283,0,277,562
25,3,2.897,6.4191,5.2672,0,251,610
26,1,5.4077,2.4835,-5.6535,0,291,547
26,2,1.7206,3.6878,7.1283,0,291,547
26,3,2.897,6.4191,5.2672,0,248,615
26,4,-2.7214,4.603,7.3478,0,158,684
