frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.0771,0.9184,2.3893,0,413,580
1,2,2.9406,2.1068,-1.0179,0,239,839
1,3,0.7791,3.996,-1.4284,0,203,811
1,4,0,7.208,-2.0282,0,197,785
2,1,-0.0771,0.9184,2.3893,0,398,595
2,2,2.9406,2.1068,-1.0179,0,238,840
2,3,0.7791,3.996,-1.4284,0,201,814
2,4,0,7.208,-2.0282,0,191,790
3,1,-0.0771,0.9184,2.3893,0,412,581
3,2,2.9406,2.1068,-1.0179,0,237,840
3,3,0.7791,3.996,-1.4284,0,202,812
3,4,0,7.208,-2.0282,0,194,788
4,1,-0.0771,0.9184,2.3893,0,433,559
4,2,2.9406,2.1068,-1.0179,0,238,840
4,3,0.7791,3.996,-1.4284,0,197,817
4,4,0,7.208,-2.0282,0,194,788
7,1,-0.0771,0.9184,2.3893,0,415,577
7,2,2.9406,2.1068,-1.0179,0,239,838
7,3,0.7791,3.996,-1.4284,0,200,814
7,4,0,7.208,-2.0282,0,194,788
8,1,-0.0771,0.9184,2.3893,0,414,577
8,2,2.9406,2.1068,-1.0179,0,239,838
8,3,0.7791,3.996,-1.4284,0,194,821
8,4,0,7.208,-2.0282,0,192,789
9,1,-0.0771,0.9184,2.3893,0,422,570
9,2,2.9406,2.1068,-1.0179,0,237,840
9,3,0.7791,3.996,-1.4284,0,199,815
9,4,-0.2254,7.2641,-1.8029,0,193,789
10,1,-0.0771,0.9184,2.3893,0,413,579
10,2,2.9406,2.1068,-1.0179,0,240,837
10,3,0.7791,3.996,-1.4284,0,195,819
10,4,0,7.208,-2.0282,0,191,790
11,1,-0.0771,0.9184,2.3893,0,435,557
11,2,2.9406,2.1068,-1.0179,0,233,843
11,3,0.7791,3.996,-1.4284,0,195,820
11,4,0,7.208,-2.0282,0,192,790
11,5,0.6853,11.1768,-2.0559,0,224,761
12,1,-0.0771,0.9184,2.3893,0,408,584
12,2,2.9406,2.1068,-1.0179,0,232,844
12,3,0.7791,3.996,-1.4284,0,190,824
12,4,-0.2254,7.2641,-1.8029,0,194,788
12,5,0.6853,11.1768,-2.0559,0,252,733
10,1,-0.0771,0.9184,2.3893,0,400,592
10,2,2.9406,2.1068,-1.0179,0,240,837
10,3,0.7791,3.996,-1.4284,0,189,826
10,4,0,7.208,-2.0282,0,194,788
10,5,0.3426,11.1925,-2.0559,0,238,749
14,1,-0.0771,0.9184,2.3893,0,419,573
14,2,2.9406,2.1068,-1.0179,0,239,838
14,3,0.7791,3.9472,-1.5582,0,186,828
14,4,-0.2254,7.2641,-1.8029,0,193,789
15,1,-0.0771,0.9184,2.3893,0,433,559
15,2,2.9406,2.1068,-1.0179,0,236,841
15,3,0.7791,3.9472,-1.5582,0,184,829
15,4,0,7.208,-2.0282,0,189,793
16,1,-0.0771,0.9184,2.3893,0,403,588
16,2,2.9406,2.1068,-1.0179,0,239,838
16,3,0.7791,3.996,-1.4284,0,185,829
16,4,0,7.208,-2.0282,0,195,787
17,1,-0.0771,0.9184,2.3893,0,420,573
17,2,2.9406,2.1068,-1.0179,0,240,837
17,3,0.7791,3.9472,-1.5582,0,184,830
17,4,0,7.208,-2.0282,0,194,787
18,1,-0.0771,0.9184,2.3893,0,427,565
18,2,2.9406,2.1068,-1.0179,0,238,840
18,3,0.7791,3.9472,-1.5582,0,185,829
