frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.0798,1.1778,2.3154,0,414,614
1,2,2.899,2.2324,-0.9277,0,225,880
1,3,0,7.1254,-2.3002,0,167,844
1,4,-2.9902,3.7488,-5.7505,0,167,844
1,5,2.0226,9.1812,-0.2889,0,191,782
2,1,0.0798,1.1778,2.3154,0,423,605
2,2,2.899,2.2324,-0.9277,0,225,880
2,3,0,7.1254,-2.3002,0,167,844
2,4,-3.2203,3.9009,-5.5204,0,167,844
2,5,2.0226,9.1812,-0.2889,0,189,784
3,1,0.0798,1.1778,2.3154,0,392,637
3,2,2.899,2.2324,-0.9277,0,229,876
3,3,0,7.1254,-2.3002,0,166,845
3,4,-2.9902,3.7488,-5.7505,0,166,845
3,5,-2.9902,4.0799,-5.5204,0,166,845
3,6,2.0226,9.1812,-0.2889,0,189,784
4,1,0.0798,1.1778,2.3154,0,401,627
4,2,2.899,2.2324,-0.9277,0,229,875
4,3,0,7.1254,-2.3002,0,165,846
4,4,-2.9902,3.7488,-5.7505,0,165,846
4,5,2.0226,9.1812,-0.2889,0,189,784
7,1,0.0798,1.1778,2.3154,0,405,623
7,2,2.899,2.2324,-0.9277,0,235,869
7,3,0,7.1254,-2.3002,0,165,846
7,4,-2.9902,4.0799,-5.5204,0,165,846
7,5,2.0226,9.1812,-0.2889,0,189,783
8,1,0.0798,1.1778,2.3154,0,422,606
8,2,2.899,2.2324,-0.9277,0,233,871
8,3,0,7.1254,-2.3002,0,167,844
8,4,-2.9902,3.7488,-5.7505,0,167,844
8,5,2.0226,9.1812,-0.2889,0,188,784
9,1,0.0798,1.1778,2.3154,0,424,604
9,2,2.899,2.2324,-0.9277,0,228,876
9,3,0,7.1254,-2.3002,0,167,844
9,4,-2.9902,3.7488,-5.7505,0,167,844
9,5,2.0226,9.1812,-0.2889,0,187,785
10,1,0.0684,0.2413,-0.2737,0,153,718
10,2,0.0798,1.1778,2.3154,0,412,617
10,3,2.899,2.2324,-0.9277,0,227,877
10,4,0,7.1254,-2.3002,0,167,844
10,5,-2.9902,3.7488,-5.7505,0,167,844
10,6,2.0226,9.1812,-0.2889,0,190,783
11,1,0.0798,1.1778,2.3154,0,436,592
11,2,2.899,2.2324,-0.9277,0,228,876
11,3,0,7.1254,-2.3002,0,168,843
11,4,-2.9902,4.0799,-5.5204,0,168,843
11,5,2.0226,9.1812,-0.2889,0,186,786
12,1,0.0798,1.1778,2.3154,0,404,624
12,2,2.899,2.2324,-0.9277,0,228,877
12,3,0,7.1254,-2.3002,0,166,846
