frame_id,point_id,x,y,z,doppler,snr,noise
1,1,3.0316,2.0618,-0.8982,0,198,873
1,2,3.0776,4.1239,-1.7818,0,158,882
1,3,0.2227,7.1451,-2.2272,0,161,817
1,4,-1.6934,10.8389,-3.0481,0,242,776
2,1,3.0316,2.0618,-0.8982,0,199,872
2,2,3.0776,4.1239,-1.7818,0,158,883
2,3,0.2227,7.1451,-2.2272,0,163,815
2,4,0.2227,7.2108,-2.0045,0,163,815
2,5,-1.6934,10.8389,-3.0481,0,237,780
3,1,3.0316,2.0618,-0.8982,0,200,871
3,2,3.0776,4.1239,-1.7818,0,158,883
3,3,0.2227,7.1451,-2.2272,0,162,817
3,4,-1.6934,10.8389,-3.0481,0,228,791
4,1,3.0316,2.0618,-0.8982,0,198,872
4,2,3.0776,4.1239,-1.7818,0,158,883
4,3,0.2227,7.1451,-2.2272,0,161,816
4,4,-1.6934,10.7379,-3.3868,0,234,785
4,5,-2.0319,10.7805,-3.0481,0,234,785
5,1,3.0316,2.0618,-0.8982,0,197,873
5,2,3.0776,4.1239,-1.7818,0,157,884
5,3,0.2227,7.1451,-2.2272,0,165,813
5,4,-1.6934,10.8389,-3.0481,0,266,752
5,5,0.4896,0.3376,1.0142,0.4767,160,651
6,1,0,0.9816,2.3395,0,332,608
6,2,1.0565,1.8642,-1.3584,0,332,608
6,3,3.0316,2.0618,-0.8982,0,201,870
6,4,3.0776,4.1239,-1.7818,0,157,884
6,5,0.2227,7.1451,-2.2272,0,164,814
6,6,-1.6934,10.8389,-3.0481,0,236,784
7,1,3.0316,2.0618,-0.8982,0,198,872
7,2,3.0776,4.1239,-1.7818,0,156,885
7,3,0.2227,7.1451,-2.2272,0,161,817
7,4,-1.6934,10.8389,-3.0481,0,225,793
7,5,0.5246,0.4642,0.9443,0.4767,151,618
8,1,3.0316,2.0618,-0.8982,0,199,872
8,2,3.0776,4.1239,-1.7818,0,157,884
8,3,0.2227,7.1451,-2.2272,0,161,817
8,4,-1.6934,10.8389,-3.0481,0,212,807
8,5,0.5154,0.3554,1.0676,0.4767,197,621
9,1,3.0316,2.0618,-0.8982,0,199,871
9,2,3.0776,4.1239,-1.7818,0,157,884
9,3,0.2227,7.1451,-2.2272,0,162,816
9,4,-1.6934,10.8389,-3.0481,0,234,789
10,1,3.0316,2.0618,-0.8982,0,198,872
10,2,3.0776,4.1239,-1.7818,0,157,883
10,3,0.2227,7.1451,-2.2272,0,160,818
10,4,-1.6934,10.8389,-3.0481,0,226,797
10,5,0.4638,0.5496,1.0823,0.4767,182,617
11,1,3.0316,2.0618,-0.8982,0,198,873
11,2,3.0776,4.1239,-1.7818,0,158,883
11,3,0.2227,7.1451,-2.2272,0,161,817
11,4,-1.6934,10.8389,-3.0481,0,228,794
11,5,0.5154,0.4512,1.0308,0.4767,208,610
12,1,3.0316,2.0618,-0.8982,0,200,870
12,2,3.0776,4.1239,-1.7818,0,159,882
12,3,0.2227,7.1451,-2.2272,0,159,819
12,4,-1.6934,10.8389,-3.0481,0,231,790
10,1,3.0316,2.0618,-0.8982,0,199,871
10,2,3.0776,4.1239,-1.7818,0,157,883
10,3,0.2227,7.1451,-2.2272,0,161,817
10,4,-1.6934,10.8389,-3.0481,0,229,795
10,5,0.2319,0.4978,0.67,2.3835,245,536
10,6,0.4381,0.487,-0.5669,2.3835,245,536
14,1,3.0316,2.0618,-0.8982,0,197,873
14,2,3.0776,4.1239,-1.7818,0,157,883
14,3,0.2227,7.2108,-2.0045,0,161,817
14,4,-1.6934,10.8389,-3.0481,0,253,769
14,5,0.2319,0.4978,0.67,-0.4767,174,613
14,6,0.5154,0.32,-0.6185,-0.4767,174,613
15,1,3.0316,2.0618,-0.8982,0,198,873
15,2,3.0776,4.1239,-1.7818,0,159,882
15,3,0.2227,7.1451,-2.2272,0,163,815
15,4,-1.6934,10.8389,-3.0481,0,250,772
15,5,0,10.0164,-2.7831,-0.4767,175,714
16,1,3.0316,2.0618,-0.8982,0,202,868
16,2,3.0776,4.1239,-1.7818,0,158,883
16,3,0.2227,7.2108,-2.0045,0,162,816
16,4,-1.6934,10.8389,-3.0481,0,237,784
17,1,3.0316,2.0618,-0.8982,0,200,871
17,2,3.0776,4.1239,-1.7818,0,158,883
17,3,0.2227,7.1451,-2.2272,0,163,814
17,4,-1.6934,10.8389,-3.0481,0,227,794
17,5,0.6185,9.8041,-3.4015,-0.4767,161,723
18,1,3.0316,2.0618,-0.8982,0,200,871
18,2,3.0776,4.1239,-1.7818,0,156,884
18,3,0.2227,7.1451,-2.2272,0,159,818
18,4,-1.6934,10.8389,-3.0481,0,251,770
19,1,3.0316,2.0618,-0.8982,0,198,873
19,2,3.0776,4.1239,-1.7818,0,158,882
19,3,0.2227,7.1451,-2.2272,0,163,815
19,4,-1.6934,10.8389,-3.0481,0,249,772
19,5,0,10.1573,-2.4886,-0.4767,151,708
20,1,3.0316,2.0618,-0.8982,0,200,870
20,2,3.0776,4.1239,-1.7818,0,156,884
20,3,0.2227,7.1451,-2.2272,0,161,817
20,4,-1.6934,10.8389,-3.0481,0,260,759
21,1,3.0316,2.0618,-0.8982,0,201,869
21,2,3.0776,4.1239,-1.7818,0,157,883
