frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.3269,1.0762,2.4518,0,393,597
1,2,0,3.4698,-0.9834,0,226,778
1,3,1.0882,6.7589,-2.1764,0,178,804
1,4,2.5824,8.6481,-2.8693,0,261,793
1,5,0.2985,0.4781,0.597,-6.0898,232,596
1,6,3.325,4.5109,-1.4,-2.0299,161,594
1,7,-5.6,0.9492,1.05,-2.0299,161,594
2,1,0.3269,1.0762,2.4518,0,401,588
2,2,0,3.4698,-0.9834,0,223,784
2,3,1.3058,6.6458,-2.3941,0,176,806
2,4,2.5824,8.6481,-2.8693,0,262,793
2,5,3.6564,4.3473,-0.8706,-1.3533,228,628
3,1,0.3269,1.0762,2.4518,0,404,586
3,2,0,3.4698,-0.9834,0,224,783
3,3,1.3058,6.6458,-2.3941,0,174,808
3,4,2.5824,8.6481,-2.8693,0,266,789
3,5,3.7914,4.184,-0.6893,-1.3533,273,587
7,1,0.3269,1.0762,2.4518,0,393,596
7,2,0,3.4698,-0.9834,0,218,789
7,3,1.0882,6.7589,-2.1764,0,183,800
7,4,2.5824,8.6481,-2.8693,0,258,796
7,5,4.6753,6.475,-1.4764,-1.3533,195,600
8,1,0.3269,1.0762,2.4518,0,397,593
8,2,0,3.4698,-0.9834,0,223,783
8,3,1.0882,6.7589,-2.1764,0,182,801
8,4,2.5824,8.6481,-2.8693,0,259,795
8,5,3.6191,3.9578,-1.8957,-4.0598,240,562
8,6,3.4467,4.4954,-0.517,-1.3533,246,614
9,1,0.3269,1.0762,2.4518,0,397,592
9,2,0,3.4698,-0.9834,0,222,784
9,3,1.3058,6.6458,-2.3941,0,180,802
9,4,1.0882,6.7589,-2.1764,0,180,802
9,5,2.5824,8.6481,-2.8693,0,262,792
9,6,3.5631,3.8966,-1.8664,-4.0598,236,561
10,1,0.3269,1.0762,2.4518,0,407,583
10,2,0,3.4698,-0.9834,0,227,779
10,3,1.3058,6.6458,-2.3941,0,180,804
10,4,2.5824,8.6481,-2.8693,0,263,791
10,5,3.2406,4.5747,-0.5117,-1.3533,282,564
11,1,0.3269,1.0762,2.4518,0,396,594
11,2,0,3.4698,-0.9834,0,222,784
11,3,1.0882,6.7589,-2.1764,0,180,802
11,4,2.5824,8.6481,-2.8693,0,264,789
