frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999361,-0.00533685,0.0353316,-0.000192901,-0.674495,-0.0774344,9.77315,-0.0350537,-0.535891,0.941406,-0.0067459,-0.000783742,0.0977313,1,4.81345e-05,-4.8928e-06,-8.21319e-07,0.0096269,-0.000978559,-0.000164264,0.999361,-0.00533685,0.0353316,-0.000192901,0.188005,0.582628,-0.92376,29.5,1,33844,3431518
1,2,0.999361,-0.00531336,0.0353468,-0.000155275,-0.675645,-0.0811946,9.79518,-0.0366269,-0.536813,0.965157,-0.00675654,-0.000818531,0.0979517,1,3.30527e-05,-5.41894e-07,8.14707e-06,0.00661054,-0.000108379,0.00162941,0.999361,-0.00531336,0.0353468,-0.000155275,0.187035,0.581679,-0.924786,29.5,1,33845,3431618
1,3,0.999362,-0.00521677,0.0353204,-0.00014851,-0.681917,-0.0904982,9.79007,-0.0417597,-0.544971,0.956151,-0.00682219,-0.00091136,0.0979004,1,3.23244e-05,-1.54209e-05,3.56862e-06,0.00646487,-0.00308418,0.000713723,0.999362,-0.00521677,0.0353204,-0.00014851,0.18668,0.577736,-0.922347,29.5,1,33847,3431818
1,4,0.999364,-0.00512818,0.0352753,-0.00012625,-0.686039,-0.0843027,9.78574,-0.0502326,-0.54237,0.949167,-0.00686544,-0.000851183,0.0978569,1,4.05703e-05,-2.59636e-05,1.57132e-05,0.00811405,-0.00519271,0.00314263,0.999364,-0.00512818,0.0352753,-0.00012625,0.187557,0.580681,-0.923801,29.5,1,33849,3432018
2,1,0.999365,-0.00504726,0.0352839,-0.000105773,-0.687926,-0.0967035,9.79512,-0.049193,-0.561645,0.960752,-0.00687793,-0.000975411,0.0979512,1,4.22988e-05,6.70538e-06,6.47668e-06,0.00845976,0.00134108,0.00129534,0.999365,-0.00504726,0.0352839,-0.000105773,0.187046,0.578779,-0.926366,29.5,1,33851,3432218
2,2,0.999366,-0.00495266,0.0352542,-6.51402e-05,-0.682665,-0.0865851,9.78874,-0.041949,-0.548678,0.952906,-0.00683014,-0.0008745,0.0978871,1,4.27421e-05,-1.80044e-05,2.05823e-05,0.00854842,-0.00360088,0.00411645,0.999366,-0.00495266,0.0352542,-6.51402e-05,0.186125,0.577794,-0.925373,29.5,1,33853,3432418
2,3,0.999367,-0.00490536,0.0352417,-5.38453e-05,-0.687212,-0.0838788,9.78675,-0.0535903,-0.545708,0.946846,-0.00687452,-0.000848063,0.0978673,1,4.64859e-05,-1.2387e-05,1.2776e-05,0.00929718,-0.0024774,0.00255519,0.999367,-0.00490536,0.0352417,-5.38453e-05,0.187144,0.577262,-0.92337,29.5,1,33854,3432518
2,4,0.999368,-0.00481487,0.0352096,-3.02789e-05,-0.68231,-0.0890217,9.79008,-0.0513227,-0.554834,0.957182,-0.00682635,-0.000899617,0.0979005,1,4.70076e-05,-1.67414e-05,1.43758e-05,0.00940152,-0.00334828,0.00287516,0.999368,-0.00481487,0.0352096,-3.02789e-05,0.187515,0.578784,-0.926873,29.5,1,33856,3432718
3,1,0.999369,-0.00473357,0.0352109,-7.42512e-06,-0.679039,-0.0875146,9.78938,-0.0422982,-0.559446,0.956225,-0.00679139,-0.00088435,0.0978937,1,4.60018e-05,-5.22461e-06,1.45287e-05,0.00920036,-0.00104492,0.00290574,0.999369,-0.00473357,0.0352109,-7.42512e-06,0.18756,0.578269,-0.92537,29.5,1,33858,3432918
3,2,0.99937,-0.00465637,0.0351967,3.19252e-05,-0.684259,-0.0781776,9.79085,-0.0511353,-0.551363,0.959223,-0.0068427,-0.00078935,0.0979084,1,3.69958e-05,-7.4538e-07,2.41399e-05,0.00739916,-0.000149076,0.00482799,0.99937,-0.00465637,0.0351967,3.19252e-05,0.185253,0.576772,-0.922362,29.5,1,33860,3433118
