frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999394,-0.00342553,0.0346555,-9.58214e-05,-0.687835,-0.0784276,9.79029,-0.12902,-0.56861,0.917185,-0.00687951,-0.000795534,0.0979027,1,5.56091e-05,-6.15215e-06,2.6867e-05,0.0111218,-0.00123043,0.0053734,0.999394,-0.00342553,0.0346555,-9.58214e-05,0.247397,0.570683,-0.883389,34.4375,1,60824,12657104
1,2,0.999394,-0.00337583,0.0346518,-6.85335e-05,-0.69718,-0.0816739,9.79101,-0.141426,-0.57399,0.919723,-0.00697372,-0.000826607,0.0979099,1,4.93919e-05,-9.93346e-06,1.40831e-05,0.00987838,-0.00198669,0.00281663,0.999394,-0.00337583,0.0346518,-6.85335e-05,0.248733,0.569786,-0.888466,34.4375,1,60825,12657204
1,3,0.999395,-0.00327633,0.0346321,-5.16686e-05,-0.685846,-0.070594,9.78254,-0.130169,-0.563874,0.91286,-0.00685996,-0.00071611,0.0978253,1,5.17946e-05,-7.69451e-06,2.6448e-06,0.0103589,-0.0015389,0.00052896,0.999395,-0.00327633,0.0346321,-5.16686e-05,0.246136,0.561888,-0.882064,34.4375,1,60827,12657404
1,4,0.999396,-0.00317083,0.0346097,-1.98581e-05,-0.682827,-0.0726512,9.78691,-0.123525,-0.559935,0.912905,-0.00682904,-0.000736605,0.097869,1,5.08613e-05,-3.99506e-06,1.01144e-05,0.0101723,-0.000799011,0.00202289,0.999396,-0.00317083,0.0346097,-1.98581e-05,0.247495,0.56772,-0.881435,34.4375,1,60829,12657604
2,1,0.999396,-0.00305037,0.0346115,1.38766e-06,-0.69211,-0.0640077,9.78908,-0.133688,-0.560271,0.915033,-0.00691995,-0.000653905,0.0978908,1,6.97803e-05,5.82826e-06,1.20159e-05,0.0139561,0.00116565,0.00240318,0.999396,-0.00305037,0.0346115,1.38766e-06,0.247318,0.567368,-0.889018,34.4375,1,60831,12657804
2,2,0.999397,-0.00292992,0.0345995,2.01791e-05,-0.687836,-0.0801782,9.7818,-0.131016,-0.580073,0.915481,-0.00687926,-0.000811831,0.0978179,1,5.10868e-05,-4.61928e-06,3.97668e-06,0.0102174,-0.000923856,0.000795336,0.999397,-0.00292992,0.0345995,2.01791e-05,0.247033,0.562892,-0.884066,34.4375,1,60833,12658004
2,3,0.999398,-0.002884,0.0345797,3.02467e-05,-0.689458,-0.0688943,9.78429,-0.133277,-0.56122,0.91647,-0.00689841,-0.000697928,0.0978425,1,4.5132e-05,-1.96488e-05,1.11721e-05,0.0090264,-0.00392976,0.00223442,0.999398,-0.002884,0.0345797,3.02467e-05,0.24712,0.564274,-0.87949,34.4375,1,60834,12658104
2,4,0.999399,-0.00276466,0.0345528,7.57391e-05,-0.684026,-0.0711532,9.79677,-0.131227,-0.572412,0.919558,-0.00684306,-0.000724683,0.0979674,1,6.49429e-05,-1.45174e-05,3.11866e-05,0.0129886,-0.00290347,0.00623731,0.999399,-0.00276466,0.0345528,7.57391e-05,0.24882,0.569723,-0.884932,34.4375,1,60836,12658304
3,1,0.9994,-0.00265688,0.034533,9.15203e-05,-0.679554,-0.0780278,9.78821,-0.126916,-0.585975,0.917134,-0.00679786,-0.000791006,0.0978819,1,5.38473e-05,-1.19337e-05,1.37294e-05,0.0107695,-0.00238674,0.00274589,0.9994,-0.00265688,0.034533,9.15203e-05,0.244529,0.562984,-0.888093,34.4375,1,60838,12658504
3,2,0.999401,-0.00256889,0.0345224,0.000120122,-0.681172,-0.0762377,9.7828,-0.124541,-0.578133,0.914043,-0.0068117,-0.000772191,0.0978279,1,4.88832e-05,-1.29442e-08,1.83361e-05,0.00977663,-2.58884e-06,0.00366723,0.999401,-0.00256889,0.0345224,0.000120122,0.244743,0.563309,-0.878995,34.4375,1,60840,12658704
3,3,0.999401,-0.00247013,0.0345064,0.000142692,-0.690171,-0.0738561,9.79136,-0.137437,-0.580733,0.909793,-0.0069035,-0.00074748,0.0979134,1,4.47426e-05,-9.22222e-06,1.14216e-05,0.00894851,-0.00184444,0.00228433,0.999401,-0.00247013,0.0345064,0.000142692,0.247841,0.570706,-0.884906,34.4375,1,60842,12658904
3,4,0.999402,-0.00237572,0.0345031,0.000156068,-0.697791,-0.0720453,9.7843,-0.144187,-0.584123,0.913064,-0.00697843,-0.000730435,0.0978429,1,5.04218e-05,-2.68942e-06,8.2553e-06,0.0100844,-0.000537883,0.00165106,0.999402,-0.00237572,0.0345031,0.000156068,0.247913,0.563426,-0.887088,34.4375,1,60844,12659104
4,1,0.999402,-0.00232495,0.0344975,0.000168314,-0.682643,-0.0771116,9.78756,-0.127356,-0.592981,0.922061,-0.00682758,-0.000781213,0.0978754,1,5.06063e-05,-5.96814e-06,1.39471e-05,0.0101213,-0.00119363,0.00278941,0.999402,-0.00232495,0.0344975,0.000168314,0.2457,0.559932,-0.8816,34.4375,1,60845,12659204
4,2,0.999403,-0.00220687,0.0344682,0.000187329,-0.695117,-0.0756828,9.79207,-0.138665,-0.587674,0.918432,-0.00695495,-0.000768976,0.0979204,1,6.11563e-05,-1.93919e-05,1.23475e-05,0.0122313,-0.00387839,0.00246949,0.999403,-0.00220687,0.0344682,0.000187329,0.247067,0.566722,-0.87994,34.4375,1,60847,12659404
