frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999396,-0.00375247,0.0345568,-0.000124933,-0.65581,-0.0691653,9.79137,0.15475,-0.467621,1.03225,-0.00656093,-0.000702828,0.0979135,1,5.6481e-05,-1.45102e-05,8.73935e-06,0.0112962,-0.00290204,0.00174787,0.999396,-0.00375247,0.0345568,-0.000124933,0.00956263,0.488877,-1.02805,34.5625,1,859,130110
1,2,0.999396,-0.00372274,0.0345497,-0.000117211,-0.656982,-0.0697963,9.79747,0.157757,-0.469369,1.03989,-0.0065709,-0.000707459,0.0979746,1,4.76315e-05,-5.60091e-06,1.24371e-05,0.0095263,-0.00112018,0.00248742,0.999396,-0.00372274,0.0345497,-0.000117211,0.0102862,0.488214,-1.01847,34.5625,1,860,130210
1,3,0.999396,-0.00363285,0.0345564,-0.000107144,-0.673549,-0.0804082,9.79105,0.135918,-0.481852,1.01994,-0.00673599,-0.000813114,0.0979104,1,4.55454e-05,-2.6097e-06,8.46001e-06,0.00910908,-0.000521939,0.001692,0.999396,-0.00363285,0.0345564,-0.000107144,0.0140255,0.492599,-1.01991,34.5625,1,862,130410
1,4,0.999397,-0.00352809,0.0345323,-7.41148e-05,-0.667612,-0.0731666,9.79142,0.132407,-0.482003,1.02315,-0.00668049,-0.000741233,0.0979138,1,4.74062e-05,-2.2471e-05,2.12414e-05,0.00948125,-0.00449419,0.00424829,0.999397,-0.00352809,0.0345323,-7.41148e-05,0.0114786,0.487904,-1.02909,34.5625,1,864,130610
2,1,0.999398,-0.00340883,0.0345253,-3.7532e-05,-0.668739,-0.0741474,9.80091,0.139295,-0.48088,1.04107,-0.00668864,-0.000752744,0.0980089,1,5.55031e-05,-6.59941e-06,2.91932e-05,0.0111006,-0.00131988,0.00583864,0.999398,-0.00340883,0.0345253,-3.7532e-05,0.00936813,0.484817,-1.01905,34.5625,1,866,130810
2,2,0.999399,-0.00330982,0.0345182,-1.14602e-05,-0.667198,-0.0665741,9.78909,0.143737,-0.472976,1.01782,-0.00667264,-0.000676665,0.0978908,1,5.47637e-05,-3.46272e-06,1.51338e-05,0.0109527,-0.000692544,0.00302676,0.999399,-0.00330982,0.0345182,-1.14602e-05,0.013532,0.492612,-1.02041,34.5625,1,868,131010
2,3,0.999399,-0.00326214,0.0345169,-1.62795e-05,-0.669521,-0.0687283,9.79587,0.131631,-0.481045,1.0227,-0.00669547,-0.000696691,0.0979587,1,4.82611e-05,-1.31482e-06,-3.49458e-06,0.00965222,-0.000262964,-0.000698916,0.999399,-0.00326214,0.0345169,-1.62795e-05,0.0123767,0.493243,-1.02797,34.5625,1,869,131110
2,4,0.999399,-0.00314899,0.0345105,-4.96874e-06,-0.659001,-0.0702254,9.79714,0.152267,-0.488353,1.03476,-0.00659015,-0.000714179,0.0979713,1,6.04894e-05,-7.85968e-07,5.47798e-06,0.0120979,-0.000157194,0.0010956,0.999399,-0.00314899,0.0345105,-4.96874e-06,0.00963573,0.485933,-1.02711,34.5625,1,871,131310
3,1,0.9994,-0.00305082,0.0345,-6.65401e-06,-0.668708,-0.0867673,9.793,0.138499,-0.499772,1.02565,-0.00668847,-0.000879258,0.0979298,1,5.91334e-05,-7.09669e-06,3.03583e-07,0.0118267,-0.00141934,6.07167e-05,0.9994,-0.00305082,0.0345,-6.65401e-06,0.0126884,0.490606,-1.01692,34.5625,1,873,131510
3,2,0.999401,-0.00295589,0.0344671,1.52696e-06,-0.669342,-0.0746109,9.79854,0.134602,-0.496411,1.02204,-0.00669632,-0.000757461,0.0979851,1,5.72728e-05,-1.49137e-05,9.56068e-06,0.0114546,-0.00298274,0.00191214,0.999401,-0.00295589,0.0344671,1.52696e-06,0.0118875,0.493735,-1.02795,34.5625,1,875,131710
3,3,0.999402,-0.00286691,0.0344508,2.18821e-05,-0.662974,-0.0669343,9.7945,0.143546,-0.488394,1.03278,-0.00663248,-0.00067947,0.0979447,1,5.1098e-05,-1.40534e-05,8.84559e-06,0.0102196,-0.00281069,0.00176912,0.999402,-0.00286691,0.0344508,2.18821e-05,0.00820472,0.485936,-1.0266,34.5625,1,877,131910
3,4,0.999403,-0.0027745,0.0344463,3.61534e-05,-0.664804,-0.0676913,9.79415,0.142906,-0.493468,1.03083,-0.00664763,-0.000686386,0.0979415,1,4.74416e-05,1.99873e-06,1.34741e-05,0.00948833,0.000399746,0.00269483,0.999403,-0.0027745,0.0344463,3.61534e-05,0.0107593,0.488698,-1.01847,34.5625,1,879,132110
4,1,0.999403,-0.00273672,0.0344285,4.33476e-05,-0.663011,-0.0737555,9.77476,0.141222,-0.494641,0.998774,-0.00663355,-0.000745083,0.0977473,1,3.79234e-05,-1.77047e-05,8.62391e-06,0.00758467,-0.00354094,0.00172478,0.999403,-0.00273672,0.0344285,4.33476e-05,0.0139676,0.491678,-1.02296,34.5625,1,880,132210
4,2,0.999404,-0.00265283,0.034411,6.03071e-05,-0.672948,-0.0668164,9.78981,0.130422,-0.493724,1.01915,-0.00673101,-0.000676076,0.0978979,1,3.92776e-05,-7.94616e-06,1.64619e-05,0.00785552,-0.00158923,0.00329239,0.999404,-0.00265283,0.034411,6.03071e-05,0.0104841,0.489863,-1.02904,34.5625,1,882,132410
