frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,1.6309,1.487,-1.2425,0,382,645,47
1,2,-0.2819,4.1419,-1.9732,0,157,819,47
1,3,4.1564,5.8811,-3.4229,0,181,869,47
2,1,1.6108,1.6867,-1.2081,0,379,647,81
2,2,2.4075,1.5408,-0.535,0,206,745,81
2,3,-0.2819,4.1419,-1.9732,0,159,818,81
2,4,4.1564,5.8811,-3.4229,0,180,870,81
3,1,1.6108,1.6867,-1.2081,0,377,649,114
3,2,2.3184,1.6979,-0.4458,0,200,743,114
3,3,-0.2819,4.1419,-1.9732,0,160,817,114
3,4,4.1564,5.8811,-3.4229,0,180,870,114
4,1,1.6108,1.6867,-1.2081,0,388,640,147
4,2,2.2436,1.6901,-0.1726,0,265,682,147
4,3,-0.2819,4.1419,-1.9732,0,159,818,147
4,4,4.1564,5.8811,-3.4229,0,179,870,147
5,1,1.6108,1.6867,-1.2081,0,353,673,181
5,2,0.4832,0.9098,-2.4162,0,353,673,181
5,3,2.071,1.8976,-0.1726,0,263,711,181
5,4,-0.2819,4.1419,-1.9732,0,157,820,181
5,5,4.1564,5.8811,-3.4229,0,179,870,181
6,1,1.6108,1.6867,-1.2081,0,370,656,214
6,2,1.8984,2.0757,-0.0863,0,289,695,214
6,3,-0.2819,4.1419,-1.9732,0,159,818,214
6,4,4.1564,5.8811,-3.4229,0,178,871,214
7,1,1.6108,1.626,-1.2886,0,368,651,247
7,2,0.5638,0.5897,-2.4967,0,368,651,247
7,3,1.9847,1.9933,-0.0863,0,278,694,247
7,4,-0.2819,4.1419,-1.9732,0,157,819,247
7,5,4.1564,5.8811,-3.4229,0,180,870,247
8,1,1.6108,1.626,-1.2886,0,365,656,281
8,2,0.4832,0.6573,-2.4967,0,365,656,281
8,3,1.9847,1.9933,-0.0863,0,260,700,281
8,4,-0.2819,4.1419,-1.9732,0,154,821,281
8,5,4.1564,5.8811,-3.4229,0,178,872,281
9,1,1.5302,1.702,-1.2886,0,387,630,314
9,2,-0.2819,4.1419,-1.9732,0,153,823,314
9,3,4.1564,5.8811,-3.4229,0,179,871,314
10,1,1.6108,1.5588,-1.3692,0,355,665,347
10,2,0.4832,0.6573,-2.4967,0,355,665,347
10,3,-0.4228,4.1299,-1.9732,0,156,821,347
10,4,4.1564,5.8811,-3.4229,0,180,870,347
11,1,1.5302,1.702,-1.2886,0,367,671,381
11,2,0.4832,0.6573,-2.4967,0,367,671,381
11,3,-0.2819,4.1419,-1.9732,0,155,822,381
11,4,4.1564,5.8811,-3.4229,0,181,869,381
12,1,1.7086,1.3239,-1.3203,0,376,648,414
12,2,2.675,0.8104,-0.8025,0,176,739,414
12,3,1.5158,1.2566,-2.14,0,176,739,414
12,4,-0.2819,4.1419,-1.9732,0,157,821,414
12,5,4.1564,5.8811,-3.4229,0,182,868,414
13,1,1.7086,1.7635,-0.6213,0,375,653,448
13,2,2.5024,1.137,-0.604,0,240,687,448
13,3,1.2081,1.6901,-1.8984,0,240,687,448
13,4,-0.2819,4.1419,-1.9732,0,156,822,448
13,5,4.1564,5.8811,-3.4229,0,183,867,448
14,1,1.3203,1.7686,-1.2425,0,363,625,481
14,2,2.7642,0.4145,-0.8025,0,196,718,481
14,3,1.3375,1.569,-2.0509,0,196,718,481
14,4,-0.2819,4.1419,-1.9732,0,159,819,481
14,5,4.1564,5.8811,-3.4229,0,182,868,481
14,6,-2.2551,8.6222,-2.2551,0,152,856,481
14,7,1.6913,8.8765,1.6913,0,152,856,481
15,1,1.2425,2.0934,-0.699,0,371,634,514
15,2,1.9847,1.9877,0.1726,0,276,677,514
15,3,-0.2819,4.1419,-1.9732,0,153,824,514
15,4,4.1564,5.8811,-3.4229,0,182,868,514
15,5,-2.537,8.613,-1.9732,0,150,857,514
15,6,1.6913,8.8765,1.6913,0,150,857,514
16,1,1.3979,2.06,-0.466,0,361,670,547
16,2,0.7133,2.3177,1.605,0,161,756,547
16,3,-0.2819,4.1419,-1.9732,0,166,812,547
16,4,4.1075,5.8119,-3.3826,0,174,875,547
17,1,1.5532,1.8091,-0.8543,0,346,670,581
17,2,2.5859,1.1749,-0.6242,0,168,751,581
17,3,1.5158,1.2566,-2.14,0,168,751,581
17,4,-0.2819,4.1419,-1.9732,0,155,824,581
17,5,4.1075,5.8119,-3.3826,0,171,878,581
18,1,1.5532,1.8437,-0.7766,0,388,645,614
18,2,0.8025,2.3484,1.5158,0,180,742,614
18,3,-0.2819,4.1419,-1.9732,0,158,820,614
18,4,4.1075,5.8119,-3.3826,0,174,875,614
18,5,4.1564,5.8811,-3.4229,0,180,869,614
19,1,1.6108,1.9966,-0.5638,0,352,638,648
19,2,1.8984,2.0703,0.1726,0,286,670,648
19,3,-0.2819,4.1419,-1.9732,0,152,825,648
19,4,4.1075,5.8119,-3.3826,0,176,874,648
20,1,1.1966,2.1134,-0.2244,0,311,666,681
20,2,0.1611,1.5774,2.094,0,302,650,681
20,3,1.047,1.54,-1.8524,0,302,650,681
20,4,2.1745,1.3611,-0.5638,0,302,650,681
20,5,1.8984,2.0775,0,0,268,687,681
20,6,-0.4228,4.1943,-1.8323,0,161,815,681
20,7,4.1075,5.8119,-3.3826,0,174,877,681
21,1,1.2425,2.1178,-0.6213,0,316,644,714
21,2,-0.4228,4.1299,-1.9732,0,155,822,714
21,3,4.1564,5.8811,-3.4229,0,184,869,714
22,1,1.0873,1.8107,-1.3979,0,338,643,748
22,2,2.0192,1.4971,-0.3106,0,338,643,748
22,3,0.1553,0.7712,2.4075,0,338,643,748
22,4,1.0355,2.4032,1.0355,0,243,685,748
22,5,-0.4228,4.1299,-1.9732,0,165,812,748
22,6,4.1564,5.8811,-3.4229,0,188,867,748
23,1,0.1611,1.1908,2.3356,0,292,656,781
23,2,1.2886,1.5421,-1.6913,0,292,656,781
23,3,-0.4228,4.1299,-1.9732,0,154,822,781
23,4,4.1564,5.8811,-3.4229,0,187,868,781
23,5,-2.2551,8.6222,-2.2551,0,150,859,781
23,6,1.9732,8.68,1.4094,0,150,859,781
24,1,0.7133,2.2533,1.6942,0,176,739,814
24,2,-0.4228,4.1299,-1.9732,0,157,818,814
24,3,4.1564,5.8811,-3.4229,0,185,871,814
24,4,-2.2551,8.6222,-2.2551,0,153,858,814
24,5,1.9732,8.68,1.4094,0,153,858,814
