frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,-1.0918,2.3774,-0.234,0,303,720,55
1,2,1.4678,2.0961,-1.3815,0,206,841,55
1,3,-5.0302,5.1837,-3.593,0,187,840,55
2,1,-1.0918,2.258,-0.7799,0,318,716,88
2,2,-0.156,2.6033,0.312,0,318,716,88
2,3,1.4678,2.1505,-1.2952,0,204,842,88
2,4,-5.0302,5.0092,-3.8325,0,185,841,88
2,5,-0.9581,7.7148,-2.1558,0,185,841,88
3,1,0.5264,1.8441,1.6545,0,304,700,121
3,2,-0.4512,2.4511,0.4512,0,304,700,121
3,3,1.5542,2.0329,-1.3815,0,207,841,121
3,4,-5.0302,5.0092,-3.8325,0,185,841,121
3,5,-0.9581,7.7148,-2.1558,0,185,841,121
4,1,-1.6155,2.1754,-0.2423,0,249,748,155
4,2,1.5542,2.0329,-1.3815,0,207,840,155
4,3,-5.0302,5.0092,-3.8325,0,186,838,155
4,4,-0.9581,7.7148,-2.1558,0,186,838,155
5,1,-0.8579,2.4777,0.156,0,281,719,188
5,2,0.4679,2.1701,1.4038,0,281,719,188
5,3,1.8717,1.2798,-1.3258,0,281,719,188
5,4,1.4678,2.1505,-1.2952,0,206,840,188
5,5,-5.0302,5.0092,-3.8325,0,184,841,188
5,6,-0.9581,7.7148,-2.1558,0,184,841,188
6,1,0.6016,1.8865,1.5793,0,306,693,222
6,2,1.4678,2.1505,-1.2952,0,207,840,222
6,3,-5.0302,5.0092,-3.8325,0,185,839,222
6,4,-0.9581,7.7148,-2.1558,0,185,839,222
7,1,0.6016,1.8865,1.5793,0,304,701,255
7,2,0.0752,1.8487,-1.7297,0,304,701,255
7,3,-0.376,2.4488,0.5264,0,304,701,255
7,4,-1.6155,2.1512,-0.4039,0,237,752,255
7,5,0,2.7204,0,0,237,752,255
7,6,1.5542,2.0329,-1.3815,0,204,842,255
7,7,-5.0302,5.1837,-3.593,0,183,843,255
7,8,-0.7186,7.67,-2.3953,0,183,843,255
8,1,0.5264,1.8441,1.6545,0,311,693,288
8,2,-0.376,2.4637,0.4512,0,311,693,288
8,3,1.5542,2.0329,-1.3815,0,206,840,288
8,4,-5.0302,5.1837,-3.593,0,178,847,288
