frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.5264,2.1221,-1.2784,0,340,689,55
1,2,-0.3008,0.9432,2.3313,0,340,689,55
1,3,-1.5793,1.9744,-0.1504,0,340,689,55
1,4,1.7269,2.0033,-1.2088,0,203,836,55
1,5,0.4317,1.7974,-2.2449,0,203,836,55
1,6,-4.3116,6.1831,-2.8744,0,198,835,55
1,7,-1.9163,6.5438,-4.3116,0,198,835,55
2,1,0.5264,2.1221,-1.2784,0,322,703,88
2,2,-0.3008,0.9432,2.3313,0,322,703,88
2,3,-0.4512,2.3232,0.9024,0,322,703,88
2,4,1.7269,2.0033,-1.2088,0,204,836,88
2,5,0.4317,1.7974,-2.2449,0,204,836,88
2,6,-4.0721,6.2293,-3.1139,0,200,832,88
2,7,-2.3953,6.5394,-4.0721,0,200,832,88
2,8,-1.6767,6.6092,-4.3116,0,200,832,88
3,1,0.4512,2.1826,-1.2032,0,331,698,121
3,2,-0.1504,1.1413,2.2561,0,331,698,121
3,3,-1.3536,2.1354,-0.1504,0,331,698,121
3,4,1.7269,2.0033,-1.2088,0,204,838,121
3,5,0.4317,1.7974,-2.2449,0,204,838,121
3,6,-4.0721,6.2293,-3.1139,0,200,832,121
3,7,-1.6767,6.6092,-4.3116,0,200,832,121
4,1,0.1504,2.2987,-1.0528,0,340,692,155
4,2,-0.2256,0.964,2.3313,0,340,692,155
4,3,-0.4512,2.3232,0.9024,0,340,692,155
4,4,1.7269,2.0033,-1.2088,0,207,836,155
4,5,0.4317,1.7974,-2.2449,0,207,836,155
4,6,-4.0721,6.2293,-3.1139,0,204,829,155
4,7,-2.3953,6.5394,-4.0721,0,204,829,155
4,8,-1.6767,6.6092,-4.3116,0,204,829,155
5,1,0,2.3666,-0.9024,0,338,697,188
5,2,-0.4512,0.8812,-2.3313,0,338,697,188
5,3,1.7269,2.0033,-1.2088,0,206,837,188
5,4,0.4317,1.7974,-2.2449,0,206,837,188
5,5,-4.0721,6.2293,-3.1139,0,203,830,188
5,6,-2.3953,6.5394,-4.0721,0,203,830,188
5,7,-1.6767,6.6092,-4.3116,0,203,830,188
6,1,-0.1504,2.3892,-0.8272,0,351,686,221
6,2,-0.4512,0.8812,-2.3313,0,351,686,221
6,3,1.6405,2.1226,-1.1225,0,204,838,221
6,4,0.4317,1.7974,-2.2449,0,204,838,221
6,5,-4.0721,6.2293,-3.1139,0,203,830,221
6,6,-1.6767,6.6092,-4.3116,0,203,830,221
7,1,-0.1504,2.3892,-0.8272,0,345,692,255
7,2,-0.4512,0.8812,-2.3313,0,345,692,255
7,3,1.6405,2.1226,-1.1225,0,204,839,255
7,4,0.3454,1.9178,-2.1586,0,204,839,255
7,5,-3.8325,6.3795,-3.1139,0,199,833,255
7,6,-2.6349,6.5918,-3.8325,0,199,833,255
8,1,-0.376,2.4115,-0.6768,0,350,687,288
8,2,-0.4512,0.8812,-2.3313,0,350,687,288
8,3,1.6405,2.1226,-1.1225,0,210,835,288
8,4,0.3454,1.9178,-2.1586,0,210,835,288
8,5,-3.8325,6.3795,-3.1139,0,201,831,288
8,6,-1.9163,6.6955,-4.0721,0,201,831,288
9,1,-0.5264,2.4033,-0.6016,0,345,692,321
9,2,1.6405,2.1226,-1.1225,0,208,838,321
9,3,0.3454,1.9178,-2.1586,0,208,838,321
9,4,-4.3116,6.1831,-2.8744,0,201,832,321
9,5,-2.1558,6.6222,-4.0721,0,201,832,321
10,1,-0.3008,2.3998,-0.752,0,339,692,354
10,2,-0.2256,0.964,2.3313,0,339,692,354
10,3,1.6405,2.1226,-1.1225,0,207,838,354
10,4,0.3454,1.9178,-2.1586,0,207,838,354
10,5,-3.8325,6.3795,-3.1139,0,201,832,354
10,6,-2.6349,6.5918,-3.8325,0,201,832,354
10,7,-1.9163,6.6955,-4.0721,0,201,832,354
11,1,-0.376,2.4115,-0.6768,0,350,684,388
11,2,1.6405,2.1226,-1.1225,0,208,837,388
11,3,0.3454,1.9178,-2.1586,0,208,837,388
11,4,-4.3116,6.1831,-2.8744,0,202,830,388
11,5,-2.6349,6.5918,-3.8325,0,202,830,388
11,6,-1.9163,6.6955,-4.0721,0,202,830,388
12,1,-0.1504,2.3892,-0.8272,0,325,696,422
12,2,-0.1504,1.1413,2.2561,0,325,696,422
12,3,1.5542,2.1866,-1.1225,0,210,836,422
12,4,0.3454,1.9178,-2.1586,0,210,836,422
