frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.443,1.2198,-0.2013,0,271,834
1,2,-1.9329,7.323,-2.1745,0,200,852
1,3,-3.7853,7.8485,1.3519,0,167,812
1,4,-5.9483,5.9213,-2.7038,0,167,812
2,1,0.443,1.2198,-0.2013,0,273,832
2,2,-1.9329,7.2469,-2.4162,0,202,851
2,3,-3.7853,7.8485,1.3519,0,163,815
2,4,-5.9483,5.9213,-2.7038,0,163,815
3,1,0.443,1.2258,-0.1611,0,277,831
3,2,-1.9329,7.2469,-2.4162,0,195,858
3,3,-3.7853,7.8485,1.3519,0,161,817
3,4,-5.9483,5.9213,-2.7038,0,161,817
4,1,0.443,1.2337,-0.0805,0,281,836
4,2,-1.9329,7.2469,-2.4162,0,200,852
4,3,-3.7853,7.8485,1.3519,0,166,815
4,4,-5.678,6.0556,-2.9742,0,166,815
5,1,0.443,1.2337,-0.0805,0,291,829
5,2,-1.1937,7.2319,-2.6261,0,214,841
5,3,-3.7853,7.8485,1.3519,0,174,811
5,4,-5.678,6.0556,-2.9742,0,174,811
6,1,0.443,1.2304,-0.1208,0,282,831
6,2,-1.1937,7.2319,-2.6261,0,213,843
6,3,-3.5149,8.0144,1.0815,0,174,811
6,4,-5.678,6.0556,-2.9742,0,174,811
6,5,-4.5102,7.966,0.8457,0,150,776
7,1,0.443,1.2258,-0.1611,0,272,833
7,2,-1.1937,7.2319,-2.6261,0,218,839
7,3,-3.5149,8.0144,1.0815,0,170,810
24,1,0.5235,1.1875,-0.2013,0,265,829
24,2,-1.9329,7.2469,-2.4162,0,201,856
25,1,0.5235,1.1875,-0.2013,0,258,833
25,2,-1.6913,7.307,-2.4162,0,208,848
25,3,-3.0058,8.3716,0.5465,0,170,804
26,1,0.5235,1.1875,-0.2013,0,256,832
26,2,-1.6913,7.307,-2.4162,0,202,855
26,3,-3.0058,8.3716,0.5465,0,172,806
27,1,0.5235,1.1875,-0.2013,0,251,832
27,2,-1.6913,7.307,-2.4162,0,198,858
27,3,-3.0058,8.3716,0.5465,0,181,800
28,1,0.5235,1.1875,-0.2013,0,247,832
28,2,-1.6913,7.307,-2.4162,0,205,852
28,3,-2.7326,8.478,0.2733,0,181,803
29,1,0.5638,1.1613,-0.2416,0,247,830
29,2,-1.6913,7.307,-2.4162,0,206,851
29,3,-2.7326,8.478,0.2733,0,181,801
30,1,0.4746,1.307,-0.2157,0,260,822
30,2,-1.6913,7.307,-2.4162,0,203,855
30,3,-2.7326,8.478,0.2733,0,191,794
30,4,-4.792,7.7639,1.1275,0,157,763
31,1,0.4746,1.307,-0.2157,0,265,821
31,2,-1.6913,7.307,-2.4162,0,197,860
31,3,-4.3261,7.5639,1.3519,0,168,818
32,1,0.4746,1.2898,-0.302,0,259,823
32,2,-1.6913,7.307,-2.4162,0,204,854
32,3,-4.0557,7.7122,1.3519,0,164,817
33,1,0.604,1.1208,-0.3222,0,244,832
33,2,-1.6913,7.307,-2.4162,0,208,851
33,3,-4.3261,7.5639,1.3519,0,169,811
34,1,0.604,1.1208,-0.3222,0,238,831
34,2,-1.6913,7.307,-2.4162,0,209,851
34,3,-4.3261,7.5639,1.3519,0,174,808
35,1,0.604,1.1208,-0.3222,0,225,833
35,2,-1.6913,7.307,-2.4162,0,202,858
35,3,-4.5964,7.3482,1.6223,0,170,811
36,1,0.604,1.1084,-0.3624,0,220,832
36,2,-1.6913,7.307,-2.4162,0,205,858
36,3,-4.0557,7.7122,1.3519,0,167,807
37,1,0.604,1.1789,-0.4746,0,227,823
37,2,-1.6913,7.307,-2.4162,0,209,851
37,3,-4.3261,7.5639,1.3519,0,169,809
38,1,0.5609,1.2307,-0.3883,0,237,819
38,2,-1.6913,7.307,-2.4162,0,208,851
38,3,-4.5964,7.3482,1.6223,0,169,811
38,4,-5.4076,6.8327,-1.3519,0,169,811
38,5,-5.4076,6.5262,-2.4334,0,169,811
39,1,0.5177,1.262,-0.3452,0,241,823
39,2,-1.6913,7.3826,-2.1745,0,215,846
39,3,-4.3261,7.5105,1.6223,0,157,818
40,1,0.4746,1.2898,-0.302,0,247,823
40,2,-1.1937,7.3138,-2.3874,0,223,835
40,3,-1.6913,7.3826,-2.1745,0,210,848
40,4,-3.5149,8.0144,1.0815,0,166,815
41,1,0.5177,1.262,-0.3452,0,248,824
41,2,-1.1937,7.3138,-2.3874,0,219,843
41,3,-3.5149,8.0144,1.0815,0,162,816
42,1,0.4746,1.2789,-0.3452,0,245,824
42,2,-1.1937,7.3138,-2.3874,0,224,841
