frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.0501,0.0535,0.0585,0,375,690
1,2,-0.0223,0.0363,-0.0836,0,375,690
1,3,0.0279,0.0596,-0.0668,0,375,690
1,4,-1.5347,0.9001,0.1058,0,160,680
1,5,0.1504,1.1413,2.2561,0,183,739
1,6,0.571,3.548,-1.3704,0,189,824
1,7,2.7741,6.6252,-3.0053,0,195,870
1,8,2.543,6.8161,-2.7741,0,195,870
1,9,-2.841,8.6621,-2.2728,0,183,778
2,1,-0.0501,0.0535,0.0585,0,373,692
2,2,-0.0195,0.0311,-0.0863,0,373,692
2,3,0.0279,0.0564,-0.0696,0,373,692
2,4,-1.6405,0.6638,0.2117,0,174,678
2,5,0.1504,1.1413,2.2561,0,166,757
2,6,0.571,3.548,-1.3704,0,180,833
2,7,2.543,6.8161,-2.7741,0,195,870
2,8,-2.841,8.6621,-2.2728,0,187,774
3,1,-0.0529,0.0474,0.0613,0,374,691
3,2,-0.0195,0.0311,-0.0863,0,374,691
3,3,0.0279,0.0564,-0.0696,0,374,691
3,4,-1.6405,0.6784,0.1588,0,185,676
3,5,0.1504,1.1413,2.2561,0,182,741
3,6,0.571,3.548,-1.3704,0,181,832
3,7,2.7741,6.6252,-3.0053,0,196,870
3,8,-2.841,8.6621,-2.2728,0,189,772
4,1,-0.0529,0.0474,0.0613,0,382,683
4,2,-0.0195,0.0311,-0.0863,0,382,683
4,3,0.0279,0.0564,-0.0696,0,382,683
4,4,-1.6405,0.6784,0.1588,0,195,667
4,5,0.2256,1.268,2.1809,0,174,747
4,6,0.571,3.548,-1.3704,0,177,837
4,7,2.543,6.8161,-2.7741,0,197,869
4,8,-2.841,8.6621,-2.2728,0,187,774
4,9,0.2256,0.4869,0.6518,6.6616,182,601
4,10,0.5014,0.3592,-0.5766,6.6616,182,601
5,1,-0.0529,0.0474,0.0613,0,387,678
5,2,-0.0223,0.0363,-0.0836,0,387,678
5,3,0.0279,0.0564,-0.0696,0,387,678
5,4,-1.5876,0.7944,0.1588,0,196,664
5,5,0.2256,1.268,2.1809,0,181,743
5,6,0.571,3.548,-1.3704,0,176,837
5,7,2.543,6.8161,-2.7741,0,196,870
5,8,-2.841,8.6621,-2.2728,0,189,772
5,9,0.4261,0.8527,1.2784,2.855,244,559
5,10,1.089,0.4136,-1.089,2.855,244,559
6,1,-0.0501,0.0535,0.0585,0,391,674
6,2,-0.0195,0.0311,-0.0863,0,391,674
6,3,0.0279,0.0564,-0.0696,0,391,674
6,4,-1.6405,0.6638,0.2117,0,197,662
6,5,0.1504,1.1413,2.2561,0,171,750
6,6,0.571,3.548,-1.3704,0,183,830
6,7,2.7741,6.6252,-3.0053,0,194,871
6,8,-2.841,8.6621,-2.2728,0,188,773
7,1,-0.0501,0.0535,0.0585,0,361,704
7,2,-0.0223,0.0363,-0.0836,0,361,704
7,3,0.0279,0.0564,-0.0696,0,361,704
7,4,-1.5876,0.7944,0.1588,0,157,691
7,5,0.2256,1.1288,2.2561,0,194,729
7,6,0.571,3.548,-1.3704,0,173,840
7,7,2.7741,6.6252,-3.0053,0,194,871
7,8,-2.841,8.6621,-2.2728,0,184,776
8,1,-0.0529,0.0474,0.0613,0,373,692
8,2,-0.0195,0.0311,-0.0863,0,373,692
8,3,0.0279,0.0564,-0.0696,0,373,692
8,4,-1.5876,0.7944,0.1588,0,153,681
8,5,0.1504,1.1413,2.2561,0,193,729
8,6,0.571,3.548,-1.3704,0,184,829
8,7,2.543,6.8161,-2.7741,0,194,870
8,8,-2.841,8.6621,-2.2728,0,184,777
9,1,-0.0501,0.0535,0.0585,0,381,684
9,2,-0.0223,0.0363,-0.0836,0,381,684
9,3,0.0279,0.0564,-0.0696,0,381,684
9,4,0.1504,1.1413,2.2561,0,180,743
9,5,0.571,3.548,-1.3704,0,177,837
