frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999318,-0.00554922,0.0365032,-0.000176159,-0.728559,-0.100903,9.78241,-0.0480977,0.517064,1.05934,-0.00728778,-0.0010169,0.0978239,1,3.80649e-05,-1.14795e-05,2.93815e-05,0.00761298,-0.00229589,0.00587631,0.999318,-0.00554922,0.0365032,-0.000176159,0.190988,-0.48354,-1.05656,33.125,1,17592,8370301
1,2,0.999319,-0.00550491,0.0364955,-0.000176015,-0.723692,-0.114358,9.77956,-0.0402625,0.502804,1.05718,-0.00723888,-0.00115455,0.0977953,1,5.50375e-05,-1.01624e-05,1.41227e-05,0.0110075,-0.00203249,0.00282453,0.999319,-0.00550491,0.0364955,-0.000176015,0.191902,-0.480621,-1.0565,33.125,1,17593,8370401
1,3,0.99932,-0.00541146,0.0364694,-0.000149389,-0.734361,-0.115314,9.78811,-0.0563173,0.498037,1.06585,-0.0073468,-0.00116285,0.0978808,1,4.90584e-05,-1.6382e-05,6.66042e-06,0.00981169,-0.0032764,0.00133208,0.99932,-0.00541146,0.0364694,-0.000149389,0.19108,-0.481679,-1.05147,33.125,1,17595,8370601
1,4,0.999321,-0.00531425,0.0364704,-0.000127748,-0.72311,-0.110741,9.7867,-0.0436566,0.500918,1.05667,-0.00723139,-0.00111745,0.0978668,1,5.02131e-05,-1.63348e-06,1.46945e-05,0.0100426,-0.000326697,0.00293891,0.999321,-0.00531425,0.0364704,-0.000127748,0.19211,-0.488001,-1.05313,33.125,1,17597,8370801
2,1,0.999322,-0.00520568,0.0364412,-0.000106178,-0.727055,-0.11241,9.78197,-0.051475,0.501744,1.05501,-0.00727346,-0.0011361,0.0978193,1,6.06329e-05,-1.49532e-05,9.81985e-06,0.0121266,-0.00299065,0.00196397,0.999322,-0.00520568,0.0364412,-0.000106178,0.189072,-0.484012,-1.05657,33.125,1,17599,8371001
2,2,0.999323,-0.00509104,0.0364407,-7.97233e-05,-0.727224,-0.107569,9.78608,-0.0513504,0.495916,1.06721,-0.00727183,-0.00108749,0.0978607,1,5.97573e-05,2.02325e-06,7.07993e-06,0.0119515,0.00040465,0.00141599,0.999323,-0.00509104,0.0364407,-7.97233e-05,0.193057,-0.482698,-1.04999,33.125,1,17601,8371201
2,3,0.999323,-0.00503936,0.0364501,-6.75934e-05,-0.70998,-0.114079,9.78013,-0.0334686,0.489896,1.05161,-0.00709784,-0.00115104,0.0978013,1,5.14295e-05,9.86259e-06,1.34523e-05,0.0102859,0.00197252,0.00269047,0.999323,-0.00503936,0.0364501,-6.75934e-05,0.192106,-0.485589,-1.05156,33.125,1,17602,8371301
2,4,0.999324,-0.00493396,0.0364411,-5.95715e-05,-0.734194,-0.112589,9.78846,-0.0575382,0.488018,1.06372,-0.00734363,-0.00113621,0.0978843,1,5.14686e-05,-8.831e-06,1.70916e-05,0.0102937,-0.0017662,0.00341833,0.999324,-0.00493396,0.0364411,-5.95715e-05,0.191546,-0.487455,-1.05615,33.125,1,17604,8371501
3,1,0.999325,-0.00483406,0.036411,-1.87772e-05,-0.724707,-0.111091,9.79112,-0.0484273,0.488834,1.0705,-0.00724789,-0.00112183,0.097911,1,5.47451e-05,-4.34167e-06,1.39325e-05,0.010949,-0.000868334,0.0027865,0.999325,-0.00483406,0.036411,-1.87772e-05,0.191022,-0.4826,-1.05452,33.125,1,17606,8371701
3,2,0.999327,-0.00473255,0.0363738,1.15302e-05,-0.715752,-0.107926,9.78736,-0.03918,0.489676,1.06315,-0.00716165,-0.00109048,0.0978732,1,5.58849e-05,-2.13314e-05,1.96023e-05,0.011177,-0.00426628,0.00392047,0.999327,-0.00473255,0.0363738,1.15302e-05,0.190165,-0.486043,-1.05258,33.125,1,17608,8371901
