frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999479,-0.0022633,0.0321797,-6.15891e-05,-0.685545,0.00840431,9.77826,0.37056,0.0754473,0.801137,-0.00685522,7.47316e-05,0.0977826,1,4.66109e-05,1.16777e-06,1.43031e-05,0.00932218,0.000233553,0.00286061,0.999479,-0.0022633,0.0321797,-6.15891e-05,-0.315478,-0.0168177,-0.86001,32.875,1,24025,2448157
1,2,0.999479,-0.00220483,0.03219,-4.24735e-05,-0.717642,0.0151866,9.76835,0.326911,0.102791,0.795582,-0.00717652,0.000141288,0.0976836,1,5.1899e-05,-4.76992e-07,3.05473e-05,0.0103798,-9.53985e-05,0.00610945,0.999479,-0.00220483,0.03219,-4.24735e-05,-0.314532,-0.0172954,-0.861035,32.875,1,24026,2448257
1,3,0.99948,-0.00209921,0.0321747,-1.33635e-05,-0.684557,0.0275935,9.7964,0.364114,0.104207,0.81927,-0.00684638,0.000264501,0.097964,1,5.75967e-05,-4.07936e-06,1.08685e-05,0.0115193,-0.000815872,0.00217371,0.99948,-0.00209921,0.0321747,-1.33635e-05,-0.313615,-0.0182339,-0.863586,32.875,1,24028,2448457
1,4,0.999482,-0.00199897,0.0321251,8.15589e-06,-0.670604,0.0492393,9.79277,0.380198,0.12344,0.820239,-0.00671073,0.000482455,0.0979274,1,4.99095e-05,-2.38475e-05,1.21257e-05,0.00998191,-0.0047695,0.00242515,0.999482,-0.00199897,0.0321251,8.15589e-06,-0.315441,-0.0168447,-0.858496,32.875,1,24030,2448657
2,1,0.999483,-0.00190477,0.0321021,3.7811e-05,-0.683584,0.026529,9.78417,0.370604,0.0836956,0.804285,-0.00683719,0.000258379,0.0978416,1,3.39542e-05,-6.85817e-06,1.95019e-05,0.00679083,-0.00137163,0.00390038,0.999483,-0.00190477,0.0321021,3.7811e-05,-0.31501,-0.0197032,-0.862602,32.875,1,24032,2448857
2,2,0.999483,-0.00181572,0.032089,6.42131e-05,-0.715033,-0.00273929,9.77463,0.333097,0.0468925,0.801542,-0.0071508,-3.35477e-05,0.0977463,1,3.03444e-05,-2.42511e-06,1.55697e-05,0.00606889,-0.000485022,0.00311394,0.999483,-0.00181572,0.032089,6.42131e-05,-0.316069,-0.0152873,-0.863509,32.875,1,24034,2449057
2,3,0.999484,-0.0017773,0.0320774,7.93438e-05,-0.701616,0.00241892,9.79291,0.353132,0.0579268,0.819349,-0.00701867,1.66391e-05,0.097929,1,3.73833e-05,-1.28e-05,1.62647e-05,0.00747666,-0.00256001,0.00325294,0.999484,-0.0017773,0.0320774,7.93438e-05,-0.314557,-0.0172774,-0.862045,32.875,1,24035,2449157
2,4,0.999484,-0.00167267,0.0320836,8.51461e-05,-0.716825,0.0323676,9.76578,0.331443,0.0863855,0.791618,-0.00716867,0.000313047,0.0976578,1,5.38901e-05,-2.12707e-06,7.21609e-06,0.010778,-0.000425413,0.00144322,0.999484,-0.00167267,0.0320836,8.51461e-05,-0.314972,-0.0168397,-0.859003,32.875,1,24037,2449357
3,1,0.999484,-0.00156222,0.0320777,9.57492e-05,-0.738371,0.0296246,9.78796,0.312527,0.076556,0.815525,-0.00738413,0.000285217,0.0978796,1,5.63115e-05,-2.16602e-06,3.5209e-07,0.0112623,-0.000433204,7.04179e-05,0.999484,-0.00156222,0.0320777,9.57492e-05,-0.315519,-0.0172694,-0.862041,32.875,1,24039,2449557
3,2,0.999485,-0.00146811,0.0320703,0.000101198,-0.712965,0.00566086,9.80251,0.340311,0.0576987,0.83247,-0.00712987,4.81704e-05,0.0980251,1,4.31668e-05,-1.11761e-06,-1.72649e-06,0.00863336,-0.000223523,-0.000345298,0.999485,-0.00146811,0.0320703,0.000101198,-0.314055,-0.0177782,-0.861553,32.875,1,24041,2449757
3,3,0.999486,-0.00137186,0.0320351,0.000129912,-0.73245,0.00621254,9.7891,0.316437,0.0518691,0.818489,-0.00732854,5.38796e-05,0.0978907,1,4.14849e-05,-2.06307e-05,8.44844e-06,0.00829698,-0.00412615,0.00168969,0.999486,-0.00137186,0.0320351,0.000129912,-0.314931,-0.0178333,-0.858015,32.875,1,24043,2449957
