frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0,0.399,-0.3969,0,180,769,30
1,2,-0.2071,1.0114,-0.4487,0,191,661,30
1,3,-5.4364,2.1334,-0.9061,0,352,591,30
2,1,0,0.399,-0.3969,0,183,770,63
2,2,-0.2071,0.9954,-0.4832,0,196,656,63
2,3,-5.4364,2.1334,-0.9061,0,335,608,63
3,1,0,0.399,-0.3969,0,186,768,97
3,2,-0.1726,1.0019,-0.4832,0,192,652,97
3,3,0.443,1.0295,-0.6846,0,179,630,97
3,4,-0.2013,0.5661,-1.1678,0,179,630,97
3,5,-5.4364,2.1334,-0.9061,0,341,602,97
4,1,-0.0173,0.4151,-0.3797,0,178,773,130
4,2,-0.2416,1.0037,-0.4487,0,179,668,130
4,3,-5.4364,2.1334,-0.9061,0,332,611,130
5,1,0,0.399,-0.3969,0,183,771,163
5,2,-0.2071,0.9954,-0.4832,0,168,682,163
5,3,-5.4364,2.1334,-0.9061,0,335,608,163
6,1,0,0.399,-0.3969,0,184,769,197
6,2,-0.2071,0.9954,-0.4832,0,172,673,197
6,3,-5.4364,2.1334,-0.9061,0,336,606,197
7,1,0,0.399,-0.3969,0,187,768,230
7,2,-0.2071,0.9954,-0.4832,0,172,670,230
7,3,-5.4364,2.1334,-0.9061,0,338,605,230
8,1,0,0.399,-0.3969,0,181,774,263
8,2,-0.2416,1.0037,-0.4487,0,183,668,263
8,3,0.4832,0.9828,-0.7248,0,156,646,263
8,4,-0.1611,0.5788,-1.1678,0,156,646,263
8,5,-5.4364,2.1334,-0.9061,0,337,607,263
9,1,0,0.399,-0.3969,0,178,776,297
9,2,-0.1726,1.0019,-0.4832,0,159,685,297
9,3,-5.4364,2.1334,-0.9061,0,331,612,297
10,1,-0.0173,0.4151,-0.3797,0,167,786,330
10,2,-0.2071,1.0114,-0.4487,0,171,681,330
10,3,-5.4364,2.1334,-0.9061,0,345,598,330
11,1,0,0.4155,-0.3797,0,181,769,363
11,2,-0.1726,1.0019,-0.4832,0,165,682,363
11,3,-5.4364,2.1334,-0.9061,0,345,598,363
12,1,0,0.399,-0.3969,0,180,772,397
12,2,-0.2071,0.9954,-0.4832,0,178,670,397
12,3,-5.4364,2.1334,-0.9061,0,341,602,397
13,1,0,0.4155,-0.3797,0,183,771,430
13,2,-0.2071,1.0114,-0.4487,0,183,666,430
13,3,0.443,1.0295,-0.6846,0,157,643,430
13,4,-5.4364,2.1334,-0.9061,0,349,593,430
14,1,0,0.4155,-0.3797,0,180,773,464
14,2,-0.2071,1.0114,-0.4487,0,177,669,464
14,3,-5.4364,2.1334,-0.9061,0,334,609,464
15,1,0,0.399,-0.3969,0,185,767,497
15,2,-0.2071,1.0114,-0.4487,0,195,652,497
15,3,0.443,1.0016,-0.7248,0,164,628,497
15,4,-5.4364,2.1334,-0.9061,0,333,611,497
16,1,0,0.399,-0.3969,0,187,766,531
16,2,-0.1726,1.0019,-0.4832,0,184,665,531
16,3,0.4027,1.0712,-0.6443,0,158,645,531
16,4,-0.1611,0.5788,-1.1678,0,158,645,531
16,5,-5.4364,2.1334,-0.9061,0,334,608,531
17,1,0,0.399,-0.3969,0,171,780,564
17,2,-0.2071,1.0114,-0.4487,0,161,689,564
17,3,-5.4364,2.1334,-0.9061,0,343,600,564
18,1,0,0.399,-0.3969,0,185,768,597
18,2,-0.1726,1.0019,-0.4832,0,189,651,597
18,3,0.443,1.0295,-0.6846,0,184,617,597
18,4,-5.4364,2.1334,-0.9061,0,330,613,597
