frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
119,1,0.0975,1.4891,2.9245,0,151,817,3993
120,1,0.1504,1.3995,2.1057,0,169,775,4026
120,2,1.2032,1.5726,-1.5793,0,169,775,4026
120,3,0.2005,0.4868,0.5348,0.9517,235,566,4026
120,4,0.4094,0.4077,0.312,-0.4758,187,756,4026
121,1,-0.0975,1.4891,2.9245,0,154,780,4061
121,2,1.3648,2.3423,-1.8522,0,154,780,4061
121,3,0.1504,0.5151,0.6518,0.9517,155,610,4061
121,4,0.4846,0.2681,0.1003,-0.9517,309,636,4061
122,1,0.1671,1.0718,-0.3008,0,160,721,4094
122,2,0.3342,0.5288,0.9359,0,160,721,4094
122,3,0.2256,1.3893,2.1057,0,204,761,4094
122,4,1.2784,1.5121,-1.5793,0,204,761,4094
122,5,0.4178,1.5071,2.3396,0,155,711,4094
122,6,1.8383,1.2089,-1.7547,0,155,711,4094
122,7,0.0752,0.5607,0.6267,0.9517,291,615,4094
122,8,0.3899,0.2512,-0.0696,-0.4758,284,776,4094
123,1,0.3342,0.3216,-0.0696,0,273,829,4127
124,1,0.2925,0.3332,-0.1532,0.4758,289,784,4161
124,2,3.476,2.8577,-1.8828,0.4758,151,752,4161
125,1,0.2674,0.495,0.0167,0,205,812,4193
125,2,0.0557,0.683,0.6406,0,217,755,4193
125,3,0.3342,0.5669,-0.6685,0,217,755,4193
125,4,0.0752,1.2858,2.1809,0,150,755,4193
125,5,1.128,1.6972,-1.5041,0,150,755,4193
126,1,-0.0279,0.7542,0.5571,0,174,746,4227
126,2,0.234,0.5075,-0.0668,0.4758,307,737,4227
127,1,0.0752,0.5314,0.6518,0,183,750,4260
127,2,0,1.4922,2.9245,0,153,796,4260
127,3,0.1504,0.5421,-0.0167,0.4758,281,757,4260
127,4,0.3677,0.3666,0.2173,0.4758,281,757,4260
128,1,-0.0167,0.5616,-0.0334,0,217,788,4293
128,2,0.2507,0.4623,0.2005,0,217,788,4293
128,3,-0.1114,0.6486,0.6685,0,187,762,4293
128,4,0.3899,0.2109,0.1532,-0.4758,230,760,4293
129,1,0.0334,0.5457,-0.1337,0,237,789,4326
129,2,0.2841,0.4786,0.0836,0,237,789,4326
129,3,-0.1114,0.6486,0.6685,0,192,753,4326
129,4,0.3342,0.5324,-0.6963,0,192,753,4326
130,1,0.117,0.538,-0.117,0.4758,332,752,4361
130,2,0.2897,0.2109,0.1114,-0.4758,166,793,4361
130,3,0.0836,0.77,0.5292,-0.4758,192,697,4361
131,1,0.117,0.5246,-0.1671,0,195,806,4393
131,2,0.312,1.5388,2.1057,0,159,778,4393
131,3,1.3258,1.4824,-1.7157,0,159,778,4393
131,4,1.4038,1.4088,-1.7157,0,159,778,4393
131,5,1.1698,1.5144,0.4679,-0.9517,154,611,4393
131,6,0.2451,0.2563,0.1226,-0.4758,192,777,4393
132,1,0.1003,0.502,-0.234,0,329,778,4426
132,2,0.312,1.5388,2.1057,0,172,750,4426
132,3,1.4038,1.4088,-1.7157,0,172,750,4426
133,1,0.2562,0.2721,0.0334,0,177,814,4460
133,2,0.1003,0.5163,-0.2005,0,280,817,4460
133,3,0.0279,0.4039,0.2367,1.4275,262,614,4460
134,1,0.1003,0.502,-0.234,0,248,791,4493
134,2,0.1504,1.2791,2.1809,0,175,740,4493
134,3,1.128,1.6972,-1.5041,0,175,740,4493
134,4,1.2032,1.6447,-1.5041,0,175,740,4493
134,5,2.5625,2.8021,-2.05,0,150,837,4493
134,6,0.234,0.2931,0.0111,0.4758,253,802,4493
134,7,-0.0446,0.6327,0.4011,0.9517,323,655,4493
135,1,0.0975,0.6058,-0.234,0,325,777,4526
135,2,0.1783,0.3285,-0.0334,0.4758,201,783,4526
136,1,0.078,0.6007,-0.2535,0,324,770,4561
136,2,0.1504,1.2791,2.1809,0,154,751,4561
136,3,1.2032,1.6447,-1.5041,0,154,751,4561
136,4,0.1114,0.4556,0,0.9517,335,702,4561
136,5,-0.2507,0.6844,0.4261,1.4275,316,598,4561
137,1,0.0585,0.6029,-0.2535,0,150,787,4594
137,2,0.0752,1.2858,2.1809,0,167,753,4594
137,3,1.128,1.6972,-1.5041,0,167,753,4594
137,4,0.0557,0.8079,0.4735,0.4758,243,715,4594
137,5,0.1114,0.4451,-0.0975,0.9517,300,713,4594
137,6,-0.1337,0.7107,0.2005,1.4275,347,603,4594
138,1,0.0975,0.6252,-0.1755,0,259,774,4627
138,2,0.0752,1.2858,2.1809,0,150,759,4627
138,3,1.2032,1.5726,-1.5793,0,150,759,4627
138,4,-0.2005,0.7629,0.3008,0.9517,344,634,4627
138,5,0.0557,0.4291,-0.181,1.9033,337,659,4627
139,1,0.0975,0.6058,-0.234,0,191,786,4660
139,2,-0.0279,0.8761,0.3342,0.4758,260,727,4660
139,3,-0.2507,0.7869,0.1755,0.9517,325,659,4660
139,4,0.1003,0.6898,0.4763,0.9517,325,659,4660
139,5,-0.0585,0.6352,-0.156,1.9033,293,607,4660
140,1,0.0752,1.2858,2.1809,0,152,759,4693
140,2,1.128,1.6972,-1.5041,0,152,759,4693
140,3,-0.2507,0.774,0.2256,0.9517,450,667,4693
140,4,-0.156,0.7121,-0.1783,2.3791,329,624,4693
141,1,0.078,0.5921,-0.273,0,171,782,4727
141,2,-0.2785,0.8311,0.3342,0.4758,292,718,4727
141,3,-0.2228,0.6649,-0.2674,2.855,442,616,4727
142,1,0.0585,0.5944,-0.273,0,185,782,4760
142,2,-0.2228,0.8958,0.1671,0.4758,279,718,4760
142,3,-0.3259,0.7642,-0.1504,1.9033,394,641,4760
142,4,-0.3008,0.6935,-0.376,3.3308,340,625,4760
143,1,0.0668,0.4907,-0.2674,0,154,822,4793
143,2,-0.2785,0.8514,0.2785,0.4758,313,711,4793
143,3,-0.3899,0.8514,-0.0557,1.4275,376,657,4793
143,4,-0.3342,0.7705,-0.4178,2.855,256,611,4793
144,1,0.0585,0.5944,-0.273,0,228,803,4827
144,2,-0.2785,0.8514,0.2785,0.4758,371,731,4827
