frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.0836,0.2862,-0.3621,0,165,722,36
1,2,3.0081,3.4896,-2.1057,0,296,523,36
1,3,7.8545,3.4168,-2.0945,0,237,533,36
2,1,0.0836,0.2862,-0.3621,0,163,724,70
2,2,3.0081,3.4896,-2.1057,0,275,545,70
2,3,7.8545,3.4168,-2.0945,0,203,566,70
3,1,0.0836,0.2862,-0.3621,0,153,732,104
3,2,3.0081,3.4896,-2.1057,0,279,541,104
3,3,7.8545,3.4168,-2.0945,0,215,558,104
4,1,0.0836,0.2862,-0.3621,0,166,720,137
4,2,3.0081,3.4896,-2.1057,0,279,541,137
4,3,7.8545,3.4168,-2.0945,0,215,555,137
5,1,0.0836,0.2862,-0.3621,0,157,728,170
5,2,3.0081,3.4896,-2.1057,0,282,536,170
5,3,7.8545,3.4168,-2.0945,0,232,539,170
6,1,0.0836,0.2862,-0.3621,0,158,724,203
6,2,3.0081,3.4896,-2.1057,0,279,543,203
6,3,8.1163,2.5156,-2.3563,0,245,522,203
7,1,0.0836,0.2862,-0.3621,0,160,723,236
7,2,3.0081,3.4896,-2.1057,0,276,545,236
7,3,7.8545,3.4168,-2.0945,0,230,538,236
8,1,0.0836,0.2862,-0.3621,0,155,726,270
8,2,3.0081,3.4896,-2.1057,0,255,564,270
8,3,7.8545,3.2418,-2.3563,0,221,551,270
9,1,0.0836,0.2862,-0.3621,0,165,719,304
9,2,3.0081,3.4896,-2.1057,0,273,547,304
9,3,8.1163,2.5156,-2.3563,0,212,558,304
10,1,0.0836,0.2862,-0.3621,0,161,725,336
10,2,3.0081,3.4896,-2.1057,0,258,562,336
10,3,8.1163,2.5156,-2.3563,0,219,551,336
11,1,0.0975,0.2629,-0.376,0,161,727,371
11,2,3.0081,3.4896,-2.1057,0,267,551,371
11,3,8.1163,2.5156,-2.3563,0,229,542,371
12,1,0.0836,0.2862,-0.3621,0,157,727,403
12,2,3.0081,3.4896,-2.1057,0,271,548,403
12,3,8.1163,2.5156,-2.3563,0,214,555,403
13,1,0.0975,0.2818,-0.3621,0,156,731,437
13,2,3.0081,3.4896,-2.1057,0,261,559,437
13,3,7.8545,3.4168,-2.0945,0,220,554,437
14,1,0.0836,0.2862,-0.3621,0,153,734,470
14,2,3.0081,3.4896,-2.1057,0,271,547,470
14,3,7.8545,3.4168,-2.0945,0,215,551,470
15,1,0.0836,0.2862,-0.3621,0,155,730,503
15,2,3.0081,3.4896,-2.1057,0,264,557,503
15,3,7.8545,3.4168,-2.0945,0,231,544,503
16,1,0.0836,0.2862,-0.3621,0,161,724,536
16,2,3.0081,3.4896,-2.1057,0,265,555,536
16,3,7.8545,3.4168,-2.0945,0,238,531,536
17,1,0.0975,0.2629,-0.376,0,159,726,570
17,2,3.0081,3.4896,-2.1057,0,272,547,570
17,3,8.1163,2.7374,-2.0945,0,210,559,570
18,1,0.0836,0.2862,-0.3621,0,160,723,603
18,2,3.0081,3.4896,-2.1057,0,274,544,603
18,3,7.8545,3.4168,-2.0945,0,222,551,603
19,1,0.0975,0.2629,-0.376,0,154,730,637
19,2,3.0081,3.4896,-2.1057,0,262,558,637
19,3,8.1163,2.5156,-2.3563,0,212,557,637
20,1,0.0836,0.2862,-0.3621,0,163,720,671
20,2,3.0081,3.4896,-2.1057,0,280,537,671
20,3,7.8545,3.4168,-2.0945,0,251,522,671
21,1,0.0836,0.2862,-0.3621,0,158,725,703
21,2,3.0081,3.4896,-2.1057,0,259,558,703
21,3,7.8545,3.4168,-2.0945,0,214,558,703
22,1,0.0836,0.2862,-0.3621,0,159,724,737
22,2,3.0081,3.4896,-2.1057,0,270,550,737
22,3,7.8545,3.4168,-2.0945,0,204,564,737
23,1,0.0836,0.2862,-0.3621,0,158,728,770
23,2,3.0081,3.4896,-2.1057,0,267,554,770
23,3,8.1163,2.5156,-2.3563,0,218,550,770
24,1,0.0836,0.2862,-0.3621,0,159,726,804
24,2,3.0081,3.4896,-2.1057,0,260,560,804
24,3,7.8545,3.4168,-2.0945,0,219,556,804
25,1,0.0975,0.2629,-0.376,0,157,730,836
25,2,3.0081,3.4896,-2.1057,0,281,538,836
25,3,8.1163,2.5156,-2.3563,0,221,551,836
26,1,0.0836,0.2862,-0.3621,0,158,727,870
26,2,3.0081,3.4896,-2.1057,0,267,553,870
26,3,7.8545,3.4168,-2.0945,0,208,558,870
27,1,0.0836,0.2862,-0.3621,0,159,727,903
27,2,3.0081,3.4896,-2.1057,0,268,552,903
27,3,7.8545,3.4168,-2.0945,0,216,557,903
28,1,0.0836,0.2862,-0.3621,0,157,727,937
28,2,3.0081,3.4896,-2.1057,0,266,550,937
28,3,7.8545,3.4168,-2.0945,0,215,556,937
29,1,0.0836,0.2862,-0.3621,0,161,724,970
29,2,3.0081,3.4896,-2.1057,0,275,546,970
29,3,7.8545,3.4168,-2.0945,0,213,555,970
30,1,0.0975,0.2629,-0.376,0,160,725,1003
30,2,3.0081,3.4896,-2.1057,0,273,546,1003
30,3,7.8545,3.4168,-2.0945,0,219,550,1003
31,1,0.0836,0.2862,-0.3621,0,160,724,1036
31,2,3.0081,3.4896,-2.1057,0,271,548,1036
31,3,7.8545,3.4168,-2.0945,0,212,558,1036
32,1,0.0975,0.2629,-0.376,0,155,731,1070
32,2,3.0081,3.4896,-2.1057,0,268,550,1070
32,3,8.1163,2.5156,-2.3563,0,210,558,1070
33,1,0.0836,0.2862,-0.3621,0,166,719,1103
33,2,3.0081,3.4896,-2.1057,0,283,536,1103
33,3,8.1163,2.5156,-2.3563,0,222,548,1103
34,1,0.0975,0.2629,-0.376,0,160,727,1136
34,2,3.0081,3.4896,-2.1057,0,265,555,1136
34,3,7.8545,3.4168,-2.0945,0,229,542,1136
35,1,0.0975,0.2818,-0.3621,0,164,720,1170
35,2,3.0081,3.4896,-2.1057,0,251,566,1170
35,3,8.1163,2.5156,-2.3563,0,225,547,1170
36,1,0.0836,0.2862,-0.3621,0,157,726,1203
36,2,0.0891,1.2654,-0.8022,0,152,582,1203
36,3,-0.6239,0.4396,-1.2924,0,152,582,1203
36,4,3.0081,3.4896,-2.1057,0,286,533,1203
36,5,7.8545,3.4168,-2.0945,0,218,552,1203
37,1,0.0975,0.2629,-0.376,0,158,727,1236
37,2,3.0081,3.4896,-2.1057,0,281,538,1236
37,3,7.8545,3.4168,-2.0945,0,221,547,1236
38,1,0.0975,0.2818,-0.3621,0,158,726,1270
38,2,3.0081,3.4896,-2.1057,0,273,544,1270
38,3,8.1163,2.5156,-2.3563,0,219,554,1270
39,1,0.0836,0.2862,-0.3621,0,160,724,1304
