frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.9993,-0.00280104,0.0372997,-0.000100421,-0.725754,-0.0522703,9.78208,0.0748935,-0.491933,0.996473,-0.0072616,-0.000530825,0.0978204,1,4.098e-05,-2.07872e-05,7.20297e-06,0.00819599,-0.00415744,0.00144059,0.9993,-0.00280104,0.0372997,-0.000100421,0.0783432,0.505319,-0.997195,30.8125,1,8970,942701
1,2,0.999301,-0.0027353,0.0372922,-0.000118346,-0.740741,-0.0650013,9.78817,0.0665037,-0.505768,1.00207,-0.00740768,-0.000660951,0.0978816,1,5.6332e-05,-1.3447e-06,-6.00719e-06,0.0112664,-0.000268939,-0.00120144,0.999301,-0.0027353,0.0372922,-0.000118346,0.0779428,0.500445,-0.997302,30.8125,1,8971,942801
1,3,0.999301,-0.00263536,0.0372943,-8.7052e-05,-0.740546,-0.0557095,9.78078,0.06138,-0.49249,0.999643,-0.00740519,-0.000566445,0.0978078,1,4.70747e-05,1.33939e-06,9.57009e-06,0.00941494,0.000267878,0.00191402,0.999301,-0.00263536,0.0372943,-8.7052e-05,0.0767168,0.498371,-0.989766,30.8125,1,8973,943001
1,4,0.999302,-0.00254364,0.037272,-7.07761e-05,-0.746597,-0.0459408,9.78906,0.0564722,-0.483381,1.00151,-0.00746811,-0.000469453,0.0978904,1,5.01256e-05,-1.09953e-05,1.55102e-05,0.0100251,-0.00219907,0.00310204,0.999302,-0.00254364,0.037272,-7.07761e-05,0.0794607,0.501824,-0.993238,30.8125,1,8975,943201
2,1,0.999303,-0.0024525,0.037242,-2.39129e-05,-0.732202,-0.056734,9.78582,0.0723009,-0.494587,0.998958,-0.00732488,-0.000577015,0.0978579,1,4.70766e-05,-1.48079e-05,3.15065e-05,0.00941532,-0.00296158,0.00630131,0.999303,-0.0024525,0.037242,-2.39129e-05,0.0784605,0.498969,-0.996832,30.8125,1,8977,943401
2,2,0.999305,-0.00236787,0.0372091,-4.39319e-06,-0.727129,-0.0468853,9.79469,0.0775153,-0.488514,1.01343,-0.00727477,-0.000478374,0.0979466,1,4.80488e-05,-1.78309e-05,7.44703e-06,0.00960977,-0.00356618,0.00148941,0.999305,-0.00236787,0.0372091,-4.39319e-06,0.0776871,0.497875,-0.989782,30.8125,1,8979,943601
2,3,0.999305,-0.00232392,0.0371931,9.84297e-06,-0.73162,-0.0468632,9.78285,0.0735269,-0.486677,0.992447,-0.00731934,-0.000477359,0.0978282,1,4.33996e-05,-1.61269e-05,1.60541e-05,0.00867992,-0.00322538,0.00321082,0.999305,-0.00232392,0.0371931,9.84297e-06,0.0790412,0.501783,-0.990711,30.8125,1,8980,943701
2,4,0.999306,-0.00222628,0.0371781,3.71765e-05,-0.780123,-0.0735137,9.78022,0.0214576,-0.52478,0.995789,-0.00780228,-0.000745612,0.0978021,1,5.28098e-05,-5.45355e-06,9.2776e-06,0.010562,-0.00109071,0.00185552,0.999306,-0.00222628,0.0371781,3.71765e-05,0.0798388,0.501414,-0.997794,30.8125,1,8982,943901
3,1,0.999308,-0.00212815,0.0371239,6.97769e-05,-0.772844,-0.0705963,9.77648,0.0240919,-0.526765,0.99755,-0.00773355,-0.000718076,0.0977644,1,6.03423e-05,-2.62577e-05,2.03753e-05,0.0120685,-0.00525153,0.00407506,0.999308,-0.00212815,0.0371239,6.97769e-05,0.0780206,0.499425,-0.9948,30.8125,1,8984,944101
3,2,0.99931,-0.00202947,0.0370955,6.16783e-05,-0.76872,-0.0448269,9.78922,0.0283015,-0.496732,1.00592,-0.00768879,-0.000457637,0.097892,1,4.80172e-05,-8.11524e-06,-2.19804e-06,0.00960344,-0.00162305,-0.000439609,0.99931,-0.00202947,0.0370955,6.16783e-05,0.0790901,0.500302,-0.989734,30.8125,1,8986,944301
