frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.99919,-0.003466,0.0401025,-0.000118481,-0.777983,-0.0680628,9.78954,0.100805,-0.465801,1.04117,-0.00778263,-0.000690682,0.0978951,1,4.93899e-05,-1.44891e-05,2.46486e-05,0.00987798,-0.00289782,0.00492973,0.99919,-0.003466,0.0401025,-0.000118481,0.0732282,0.481006,-1.02701,32.1875,1,30405,3092192
1,2,0.99919,-0.00342906,0.0400903,-0.000111204,-0.735119,-0.0661013,9.78995,0.138759,-0.468616,1.03981,-0.00735319,-0.000670041,0.0978993,1,4.50165e-05,-1.03545e-05,1.45471e-05,0.00900329,-0.00207089,0.00290942,0.99919,-0.00342906,0.0400903,-0.000111204,0.0717682,0.480548,-1.02802,32.1875,1,30406,3092292
1,3,0.999191,-0.00333672,0.0400726,-0.000103243,-0.758669,-0.0608913,9.78608,0.122936,-0.462612,1.03272,-0.00758892,-0.00061607,0.0978606,1,3.65787e-05,-1.13825e-05,-1.41607e-07,0.00731573,-0.0022765,-2.83214e-05,0.999191,-0.00333672,0.0400726,-0.000103243,0.0737501,0.480008,-1.02602,32.1875,1,30408,3092492
1,4,0.999192,-0.00325488,0.0400658,-8.66723e-05,-0.73447,-0.0652132,9.793,0.145282,-0.46883,1.03718,-0.00734626,-0.000660188,0.0979298,1,4.00842e-05,-8.05403e-06,1.39977e-05,0.00801683,-0.00161081,0.00279954,0.999192,-0.00325488,0.0400658,-8.66723e-05,0.0717848,0.481018,-1.027,32.1875,1,30410,3092692
2,1,0.999192,-0.00318347,0.0400558,-8.75666e-05,-0.723483,-0.0637046,9.78547,0.156589,-0.467491,1.03393,-0.00723403,-0.000642121,0.0978547,1,2.69246e-05,4.18341e-06,-1.34128e-05,0.00538491,0.000836682,-0.00268256,0.999192,-0.00318347,0.0400558,-8.75666e-05,0.0751731,0.480493,-1.02652,32.1875,1,30412,3092892
2,2,0.999193,-0.00309766,0.0400442,-7.57895e-05,-0.762415,-0.0806587,9.77881,0.111451,-0.484294,1.02748,-0.00762486,-0.000813601,0.097788,1,3.51444e-05,-3.68054e-06,9.16431e-06,0.00702888,-0.000736107,0.00183286,0.999193,-0.00309766,0.0400442,-7.57895e-05,0.0737625,0.479999,-1.02552,32.1875,1,30414,3093092
2,3,0.999194,-0.00305108,0.0400251,-5.99698e-05,-0.74665,-0.075926,9.78214,0.122983,-0.481949,1.02663,-0.00747017,-0.000768425,0.0978211,1,4.55024e-05,-1.89133e-05,1.7606e-05,0.00910049,-0.00378267,0.00352121,0.999194,-0.00305108,0.0400251,-5.99698e-05,0.0751693,0.481459,-1.02599,32.1875,1,30415,3093192
2,4,0.999195,-0.00295503,0.0400163,-3.8782e-05,-0.753536,-0.0548917,9.78371,0.12166,-0.469469,1.0332,-0.00753324,-0.000558697,0.0978372,1,4.90974e-05,1.07718e-05,1.15019e-05,0.00981949,0.00215437,0.00230038,0.999195,-0.00295503,0.0400163,-3.8782e-05,0.0761349,0.47904,-1.02757,32.1875,1,30417,3093392
3,1,0.999194,-0.00285684,0.0400288,-3.18481e-05,-0.771125,-0.0682777,9.77523,0.106374,-0.475596,1.0256,-0.00770991,-0.000693907,0.0977524,1,5.63375e-05,6.80059e-06,7.45068e-06,0.0112675,0.00136012,0.00149014,0.999194,-0.00285684,0.0400288,-3.18481e-05,0.0742355,0.480483,-1.02551,32.1875,1,30419,3093592
3,2,0.999195,-0.00276455,0.0400173,-1.80957e-05,-0.768165,-0.0816116,9.78087,0.109264,-0.500806,1.02818,-0.00768208,-0.000825543,0.0978086,1,4.78644e-05,-2.19408e-06,4.15559e-06,0.00957288,-0.000438816,0.000831119,0.999195,-0.00276455,0.0400173,-1.80957e-05,0.0727471,0.48101,-1.027,32.1875,1,30421,3093792
