frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.1294,0.3586,-0.2733,0,182,757,36
1,2,-0.1007,0.1895,-0.4171,0,182,757,36
1,3,0.4027,1.4171,2.1745,0,297,678,36
1,4,1.6913,0.5498,-1.9329,0,297,678,36
2,1,0.1294,0.3586,-0.2733,0,206,734,69
2,2,-0.0863,0.1174,-0.4458,0,206,734,69
2,3,0.1151,0.7922,-0.489,0,206,647,69
2,4,0.4171,1.7941,2.002,0,338,615,69
3,1,0.1294,0.3586,-0.2733,0,207,732,103
3,2,-0.0863,0.1625,-0.4315,0,207,732,103
3,3,0.1151,0.7922,-0.489,0,190,660,103
3,4,0.4171,1.7941,2.002,0,317,637,103
4,1,0.1294,0.3691,-0.2589,0,215,725,135
4,2,-0.0863,0.1625,-0.4315,0,215,725,135
4,3,0.1151,0.7922,-0.489,0,186,666,135
4,4,0.5005,1.8626,1.9185,0,296,657,135
5,1,0.1438,0.353,-0.2733,0,216,725,169
5,2,-0.0575,0.1338,-0.4458,0,216,725,169
5,3,0.0575,0.8154,-0.4602,0,220,633,169
5,4,0.5005,1.8626,1.9185,0,330,618,169
5,5,0.4746,2.3987,1.8984,0,150,722,169
6,1,0.1582,0.3468,-0.2733,0,206,731,202
6,2,-0.0575,0.1338,-0.4458,0,206,731,202
6,3,0.0863,0.7959,-0.489,0,211,639,202
6,4,0.5005,1.8626,1.9185,0,327,615,202
6,5,0.3797,2.3378,1.9933,0,162,715,202
7,1,0.1726,0.3278,-0.2876,0,201,738,235
7,2,-0.0431,0.1391,-0.4458,0,201,738,235
7,3,0.0863,0.7959,-0.489,0,186,661,235
7,4,0.5005,1.8626,1.9185,0,297,640,235
7,5,0.3797,2.3378,1.9933,0,159,725,235
8,1,0.1726,0.3278,-0.2876,0,198,735,269
8,2,-0.0431,0.1391,-0.4458,0,198,735,269
8,3,0.0863,0.7959,-0.489,0,189,657,269
8,4,0.5005,1.8626,1.9185,0,295,640,269
8,5,0.3797,2.3378,1.9933,0,159,726,269
9,1,0.1726,0.3278,-0.2876,0,205,732,302
9,2,-0.0431,0.1391,-0.4458,0,205,732,302
9,3,0.1151,0.7737,-0.5177,0,197,651,302
9,4,0.5005,1.8626,1.9185,0,312,626,302
9,5,0.3797,2.3378,1.9933,0,178,706,302
10,1,0.1582,0.335,-0.2876,0,208,735,335
10,2,-0.0575,0.1338,-0.4458,0,208,735,335
10,3,0.0863,0.7959,-0.489,0,201,646,335
10,4,0.5005,1.8626,1.9185,0,314,627,335
10,5,0.3797,2.3378,1.9933,0,160,719,335
11,1,0.1438,0.353,-0.2733,0,205,737,369
11,2,-0.0575,0.1338,-0.4458,0,205,737,369
11,3,0.0863,0.7775,-0.5177,0,176,673,369
11,4,0.5005,1.8626,1.9185,0,299,648,369
12,1,0.1438,0.353,-0.2733,0,196,745,402
12,2,-0.0719,0.1267,-0.4458,0,196,745,402
12,3,0.0575,0.7985,-0.489,0,174,674,402
12,4,0.4171,1.7941,2.002,0,296,652,402
13,1,0.1151,0.3738,-0.2589,0,222,716,435
13,2,-0.1007,0.154,-0.4315,0,222,716,435
13,3,0.0863,0.7959,-0.489,0,203,648,435
13,4,0.4171,1.7941,2.002,0,319,635,435
14,1,0.1151,0.3738,-0.2589,0,203,733,468
14,2,-0.1007,0.154,-0.4315,0,203,733,468
14,3,0.0575,0.7985,-0.489,0,173,676,468
14,4,0.4171,1.7941,2.002,0,299,657,468
14,5,1.6683,0.5183,-2.0854,0,299,657,468
15,1,0.1151,0.3738,-0.2589,0,212,722,502
15,2,-0.1007,0.154,-0.4315,0,212,722,502
15,3,0.0863,0.7959,-0.489,0,182,670,502
15,4,0.4171,1.7941,2.002,0,307,650,502
15,5,1.6683,0.5183,-2.0854,0,307,650,502
16,1,0.1151,0.3634,-0.2733,0,190,746,535
16,2,-0.1007,0.1053,-0.4458,0,190,746,535
16,3,0.0863,0.7959,-0.489,0,200,649,535
16,4,0.4171,1.7941,2.002,0,324,632,535
17,1,0.1151,0.3738,-0.2589,0,195,739,569
17,2,-0.1007,0.154,-0.4315,0,195,739,569
17,3,0.0575,0.7985,-0.489,0,186,662,569
17,4,0.4171,1.7941,2.002,0,319,636,569
18,1,0.1151,0.3738,-0.2589,0,221,716,602
18,2,-0.1007,0.154,-0.4315,0,221,716,602
18,3,0.0863,0.7775,-0.5177,0,213,637,602
18,4,0.4171,1.7941,2.002,0,333,619,602
18,5,0.5695,2.378,1.8984,0,150,716,602
19,1,0.1151,0.3738,-0.2589,0,206,733,635
19,2,-0.1007,0.1895,-0.4171,0,206,733,635
19,3,0.0863,0.7775,-0.5177,0,197,654,635
19,4,0.4171,1.7941,2.002,0,322,629,635
20,1,0.1294,0.3691,-0.2589,0,223,719,670
20,2,-0.0863,0.1625,-0.4315,0,223,719,670
20,3,0.0863,0.7959,-0.489,0,205,643,670
20,4,0.4171,1.7941,2.002,0,331,618,670
20,5,0.5695,2.378,1.8984,0,160,712,670
21,1,0.1438,0.353,-0.2733,0,205,739,702
21,2,-0.0719,0.1267,-0.4458,0,205,739,702
21,3,0.0863,0.7775,-0.5177,0,172,675,702
21,4,0.4171,1.7941,2.002,0,293,657,702
22,1,0.1438,0.353,-0.2733,0,195,746,735
22,2,-0.0719,0.1267,-0.4458,0,195,746,735
22,3,0.0863,0.7775,-0.5177,0,185,666,735
22,4,0.4171,1.7941,2.002,0,306,644,735
23,1,0.1438,0.353,-0.2733,0,211,729,769
23,2,-0.0863,0.1625,-0.4315,0,211,729,769
23,3,0.0575,0.7985,-0.489,0,183,666,769
23,4,0.4171,1.7941,2.002,0,305,644,769
24,1,0.1294,0.3691,-0.2589,0,207,734,802
24,2,-0.0863,0.1625,-0.4315,0,207,734,802
24,3,0.0575,0.7985,-0.489,0,176,672,802
24,4,0.4171,1.7941,2.002,0,305,645,802
25,1,0.1294,0.3586,-0.2733,0,203,736,835
25,2,-0.0863,0.1625,-0.4315,0,203,736,835
25,3,0.0863,0.7959,-0.489,0,205,644,835
25,4,0.4171,1.7941,2.002,0,329,622,835
25,5,0.5695,2.378,1.8984,0,155,718,835
26,1,0.1294,0.3586,-0.2733,0,217,721,869
26,2,-0.0863,0.1625,-0.4315,0,217,721,869
26,3,0.0863,0.7959,-0.489,0,206,644,869
26,4,0.4171,1.7941,2.002,0,327,626,869
26,5,0.5695,2.4507,1.8035,0,152,717,869
27,1,0.1294,0.3586,-0.2733,0,212,729,903
27,2,-0.1007,0.154,-0.4315,0,212,729,903
27,3,0.0863,0.7959,-0.489,0,216,635,903
27,4,0.4171,1.7941,2.002,0,336,619,903
28,1,0.1294,0.3586,-0.2733,0,207,732,935
28,2,-0.0863,0.1174,-0.4458,0,207,732,935
28,3,0.0863,0.7959,-0.489,0,201,649,935
28,4,0.4171,1.7941,2.002,0,328,625,935
28,5,0.6644,2.4267,1.8035,0,150,716,935
29,1,0.1151,0.3738,-0.2589,0,212,726,969
29,2,-0.1007,0.154,-0.4315,0,212,726,969
29,3,0.0863,0.7959,-0.489,0,197,656,969
29,4,0.4171,1.7941,2.002,0,311,644,969
29,5,1.6683,0.5183,-2.0854,0,311,644,969
30,1,0.1151,0.3738,-0.2589,0,215,723,1002
30,2,-0.0863,0.1174,-0.4458,0,215,723,1002
30,3,0.0863,0.7959,-0.489,0,212,639,1002
30,4,0.4171,1.7941,2.002,0,330,625,1002
31,1,0.1294,0.3586,-0.2733,0,214,725,1035
31,2,-0.0863,0.1625,-0.4315,0,214,725,1035
31,3,0.1151,0.7737,-0.5177,0,199,650,1035
31,4,0.0863,0.7959,-0.489,0,199,650,1035
31,5,0.4171,1.7941,2.002,0,317,637,1035
32,1,0.1438,0.3414,-0.2876,0,189,752,1068
32,2,-0.0719,0.1267,-0.4458,0,189,752,1068
32,3,-0.443,0.1969,-0.443,0,281,700,1068
32,4,-0.2215,0.6019,-0.1409,0,281,700,1068
32,5,0.4171,1.7941,2.002,0,313,639,1068
33,1,0.1438,0.3414,-0.2876,0,211,730,1102
33,2,-0.0863,0.1625,-0.4315,0,211,730,1102
33,3,0.0863,0.7959,-0.489,0,188,661,1102
33,4,0.4171,1.7941,2.002,0,305,645,1102
34,1,0.2618,0.2977,-0.5235,0,311,688,1135
34,2,0.4171,1.7941,2.002,0,311,639,1135
35,1,0.1294,0.3691,-0.2589,0,218,723,1170
35,2,-0.0863,0.1625,-0.4315,0,218,723,1170
35,3,0.1007,0.5088,-0.4027,0,291,674,1170
35,4,-0.3423,0.1999,-0.5235,0,291,674,1170
35,5,0.1151,0.7737,-0.5177,0,197,656,1170
35,6,0.4171,1.7941,2.002,0,305,646,1170
36,1,0.1294,0.3691,-0.2589,0,193,748,1203
36,2,-0.0863,0.1625,-0.4315,0,193,748,1203
36,3,0.2013,0.3964,-0.4832,0,279,697,1203
36,4,-0.3624,0.2155,-0.5034,0,279,697,1203
36,5,0.1151,0.7737,-0.5177,0,175,677,1203
36,6,0.4171,1.7941,2.002,0,300,650,1203
37,1,0.1294,0.3586,-0.2733,0,203,736,1236
37,2,-0.0863,0.1625,-0.4315,0,203,736,1236
37,3,0.0403,0.5461,-0.3624,0,266,683,1236
37,4,0.0863,0.7959,-0.489,0,186,665,1236
37,5,0.4171,1.7941,2.002,0,315,635,1236
38,1,0.1294,0.3586,-0.2733,0,202,741,1269
38,2,-0.0863,0.1174,-0.4458,0,202,741,1269
38,3,0.0863,0.7959,-0.489,0,187,667,1269
38,4,0.4171,1.7941,2.002,0,317,634,1269
39,1,0.1151,0.3738,-0.2589,0,211,732,1303
39,2,-0.0863,0.1174,-0.4458,0,211,732,1303
39,3,0.0863,0.7959,-0.489,0,210,644,1303
39,4,0.4171,1.7941,2.002,0,325,624,1303
39,5,0.4746,2.3987,1.8984,0,150,715,1303
40,1,0.1151,0.3738,-0.2589,0,217,724,1335
40,2,-0.1007,0.154,-0.4315,0,217,724,1335
40,3,0.0863,0.7959,-0.489,0,195,650,1335
40,4,0.4171,1.7941,2.002,0,319,630,1335
41,1,0.1294,0.3586,-0.2733,0,207,734,1370
41,2,-0.0863,0.1625,-0.4315,0,207,734,1370
41,3,-0.3423,0.1999,-0.5235,0,290,679,1370
41,4,0.0201,0.56,-0.3423,0,290,679,1370
41,5,0.1151,0.7737,-0.5177,0,180,669,1370
41,6,0.4171,1.7941,2.002,0,301,648,1370
42,1,0.1438,0.3414,-0.2876,0,204,738,1403
42,2,-0.0719,0.1267,-0.4458,0,204,738,1403
42,3,-0.3624,0.1606,-0.5235,0,281,682,1403
42,4,-0.1007,0.6022,-0.2416,0,281,682,1403
42,5,0.0863,0.7959,-0.489,0,202,648,1403
42,6,0.4171,1.7941,2.002,0,332,619,1403
42,7,0.4746,2.3204,1.9933,0,150,717,1403
43,1,0.1294,0.3691,-0.2589,0,211,731,1436
43,2,-0.0863,0.1625,-0.4315,0,211,731,1436
