frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.2071,0.1472,-0.2761,0,216,715,35
1,2,0.1611,1.337,2.2551,0,354,663,35
1,3,-0.2589,3.8038,-1.8121,0,164,877,35
1,4,-5.3961,3.0751,-0.9636,0,193,892,35
1,5,4.2398,2.8494,-3.6616,0,193,892,35
2,1,0.2186,0.1295,-0.2761,0,220,708,68
2,2,0.1611,1.337,2.2551,0,367,650,68
2,3,0.5695,1.9046,2.373,0,152,759,68
2,4,-0.7594,2.7765,1.139,0,152,759,68
2,5,-0.2589,3.7394,-1.9416,0,163,877,68
2,6,-5.3961,3.0751,-0.9636,0,191,893,68
2,7,4.2398,2.8494,-3.6616,0,191,893,68
3,1,0.2186,0.1014,-0.2876,0,213,712,101
3,2,0.2071,0.1472,-0.2761,0,213,712,101
3,3,0.1611,1.337,2.2551,0,356,660,101
3,4,-0.2589,3.8038,-1.8121,0,164,877,101
3,5,-5.3961,3.0751,-0.9636,0,192,892,101
3,6,4.2398,2.8494,-3.6616,0,192,892,101
4,1,0.2071,0.1472,-0.2761,0,218,710,135
4,2,0.1611,1.337,2.2551,0,359,657,135
4,3,-0.2589,3.7394,-1.9416,0,164,877,135
4,4,-5.3961,3.0751,-0.9636,0,194,891,135
4,5,4.0471,3.3302,-3.4689,0,194,891,135
5,1,0.2186,0.1014,-0.2876,0,205,725,168
5,2,0.1611,1.337,2.2551,0,360,656,168
5,3,0.5695,1.9046,2.373,0,152,760,168
5,4,-0.7594,2.7765,1.139,0,152,760,168
5,5,-0.2589,3.7394,-1.9416,0,164,877,168
5,6,-5.3961,3.0751,-0.9636,0,193,892,168
5,7,4.0471,3.3302,-3.4689,0,193,892,168
6,1,0.2071,0.1472,-0.2761,0,226,704,201
6,2,0.1611,1.337,2.2551,0,367,649,201
6,3,-0.2589,3.7394,-1.9416,0,163,878,201
6,4,-5.3961,3.0751,-0.9636,0,192,893,201
6,5,4.2398,2.8494,-3.6616,0,192,893,201
7,1,0.2186,0.1295,-0.2761,0,208,722,235
7,2,0.1611,1.337,2.2551,0,340,676,235
7,3,-0.2589,3.7394,-1.9416,0,164,877,235
7,4,-5.3961,3.0751,-0.9636,0,193,892,235
7,5,4.2398,2.8494,-3.6616,0,193,892,235
8,1,0.2071,0.1472,-0.2761,0,217,711,268
8,2,0.1611,1.337,2.2551,0,352,664,268
8,3,-0.2589,3.7394,-1.9416,0,163,877,268
8,4,-5.3961,3.0751,-0.9636,0,194,891,268
8,5,4.0471,3.3302,-3.4689,0,194,891,268
9,1,0.2186,0.1295,-0.2761,0,215,712,302
9,2,0.1611,1.337,2.2551,0,367,650,302
9,3,-0.2589,3.8038,-1.8121,0,164,877,302
9,4,-5.3961,3.0751,-0.9636,0,192,893,302
9,5,4.2398,2.8494,-3.6616,0,192,893,302
10,1,0.2071,0.1472,-0.2761,0,213,717,334
10,2,0.1611,1.337,2.2551,0,363,653,334
10,3,-0.2589,3.7394,-1.9416,0,165,876,334
10,4,-5.3961,3.0751,-0.9636,0,192,893,334
10,5,4.0471,3.3302,-3.4689,0,192,893,334
11,1,0.2186,0.1014,-0.2876,0,205,723,368
11,2,0.1611,1.337,2.2551,0,363,653,368
11,3,0.5695,1.9046,2.373,0,150,762,368
11,4,-0.7594,2.7765,1.139,0,150,762,368
11,5,-0.2589,3.7394,-1.9416,0,164,877,368
11,6,-5.3961,3.0751,-0.9636,0,193,892,368
11,7,4.0471,3.3302,-3.4689,0,193,892,368
12,1,0.2071,0.1472,-0.2761,0,218,710,401
12,2,0.1611,1.337,2.2551,0,345,671,401
12,3,-0.2589,3.8038,-1.8121,0,164,877,401
12,4,-5.3961,3.0751,-0.9636,0,193,891,401
12,5,4.0471,3.3302,-3.4689,0,193,891,401
13,1,0.2071,0.1472,-0.2761,0,215,714,435
13,2,0.1611,1.337,2.2551,0,361,656,435
13,3,-0.2589,3.8038,-1.8121,0,164,877,435
13,4,-5.3961,3.0751,-0.9636,0,191,893,435
13,5,4.2398,2.8494,-3.6616,0,191,893,435
13,6,4.0471,3.3302,-3.4689,0,191,893,435
14,1,0.2071,0.1472,-0.2761,0,218,701,468
14,2,0.1611,1.337,2.2551,0,364,651,468
14,3,-0.2589,3.7394,-1.9416,0,165,876,468
14,4,-5.3961,3.0751,-0.9636,0,190,894,468
14,5,4.2398,2.8494,-3.6616,0,190,894,468
15,1,0.1956,0.1621,-0.2761,0,220,698,501
15,2,0.1611,1.337,2.2551,0,374,641,501
15,3,0.5695,1.9046,2.373,0,155,756,501
15,4,-0.7594,2.7765,1.139,0,155,756,501
15,5,-0.2589,3.7394,-1.9416,0,165,877,501
15,6,-5.3961,3.0751,-0.9636,0,188,895,501
15,7,4.2398,2.8494,-3.6616,0,188,895,501
16,1,0.1841,0.192,-0.2646,0,187,731,535
16,2,0.233,1.2775,2.1745,0,340,675,535
16,3,0.1611,1.337,2.2551,0,346,669,535
16,4,-0.2589,3.7394,-1.9416,0,164,877,535
16,5,-5.3961,3.0751,-0.9636,0,189,895,535
16,6,4.2398,2.8494,-3.6616,0,189,895,535
17,1,0.1841,0.1751,-0.2761,0,201,714,568
17,2,0.1553,1.2893,2.1745,0,341,675,568
17,3,-0.2589,3.8038,-1.8121,0,162,878,568
17,4,-5.3961,3.0751,-0.9636,0,189,895,568
17,5,4.2398,2.8494,-3.6616,0,189,895,568
18,1,0.1726,0.2024,-0.2646,0,183,726,601
18,2,0.1553,1.2893,2.1745,0,340,675,601
18,3,-0.2589,3.8038,-1.8121,0,163,878,601
18,4,-5.3961,3.0751,-0.9636,0,189,894,601
18,5,4.2398,3.0811,-3.4689,0,189,894,601
19,1,0.1726,0.2167,-0.2531,0,206,713,635
19,2,0.1553,1.2893,2.1745,0,342,673,635
19,3,-0.2589,3.8038,-1.8121,0,161,880,635
19,4,-5.3961,3.0751,-0.9636,0,193,891,635
19,5,4.2398,3.0811,-3.4689,0,193,891,635
20,1,0.1726,0.2167,-0.2531,0,172,747,668
20,2,0.1553,1.2893,2.1745,0,312,702,668
20,3,-0.2589,3.8038,-1.8121,0,163,878,668
20,4,-5.3961,3.0751,-0.9636,0,194,890,668
20,5,4.2398,3.0811,-3.4689,0,194,890,668
21,1,0.1841,0.192,-0.2646,0,213,705,701
21,2,0.1553,1.2893,2.1745,0,378,637,701
21,3,0.5695,1.9046,2.373,0,163,744,701
21,4,-0.7594,2.7765,1.139,0,163,744,701
21,5,-0.2589,3.8038,-1.8121,0,161,879,701
21,6,-5.3961,3.0751,-0.9636,0,194,891,701
21,7,4.0471,3.3302,-3.4689,0,194,891,701
22,1,0.1841,0.207,-0.2531,0,209,712,735
22,2,0.233,1.2775,2.1745,0,353,662,735
22,3,-0.2589,3.8038,-1.8121,0,161,880,735
22,4,-5.3961,3.0751,-0.9636,0,194,890,735
22,5,4.0471,3.3302,-3.4689,0,194,890,735
23,1,0.1841,0.207,-0.2531,0,215,711,768
23,2,0.1553,1.2893,2.1745,0,365,650,768
23,3,0.5695,1.9046,2.373,0,156,751,768
23,4,-0.7594,2.7765,1.139,0,156,751,768
23,5,-0.2589,3.8038,-1.8121,0,161,880,768
23,6,-5.3961,3.0751,-0.9636,0,192,892,768
23,7,4.2398,3.0811,-3.4689,0,192,892,768
24,1,0.1956,0.1961,-0.2531,0,220,710,802
24,2,0.1553,1.2893,2.1745,0,345,669,802
24,3,0.1611,1.337,2.2551,0,355,660,802
24,4,-0.2589,3.8038,-1.8121,0,160,881,802
24,5,-5.3961,3.0751,-0.9636,0,191,892,802
24,6,4.2398,3.0811,-3.4689,0,191,892,802
25,1,0.2071,0.167,-0.2646,0,228,703,835
25,2,0.1553,1.2893,2.1745,0,365,649,835
25,3,0.1611,1.337,2.2551,0,364,651,835
25,4,-0.2589,3.8038,-1.8121,0,160,881,835
25,5,-5.3961,3.0751,-0.9636,0,192,892,835
25,6,4.2398,3.0811,-3.4689,0,192,892,835
26,1,0.2071,0.167,-0.2646,0,214,716,869
26,2,0.1611,1.337,2.2551,0,364,650,869
26,3,0.5695,1.9046,2.373,0,158,750,869
26,4,-0.7594,2.7765,1.139,0,158,750,869
26,5,-0.2589,3.8038,-1.8121,0,160,880,869
26,6,-5.3961,3.0751,-0.9636,0,192,892,869
26,7,4.0471,3.3302,-3.4689,0,192,892,869
27,1,0.2071,0.1472,-0.2761,0,213,714,902
27,2,0.1611,1.4644,2.1745,0,354,661,902
27,3,-0.2589,3.7394,-1.9416,0,160,881,902
27,4,-5.3961,3.0751,-0.9636,0,191,893,902
27,5,4.2398,2.8494,-3.6616,0,191,893,902
28,1,0.1956,0.1407,-0.2876,0,203,713,935
28,2,0.1611,1.4644,2.1745,0,349,666,935
28,3,-0.2589,3.8038,-1.8121,0,158,882,935
28,4,-5.3961,3.0751,-0.9636,0,190,893,935
28,5,4.2398,2.8494,-3.6616,0,190,893,935
29,1,0.1956,0.1407,-0.2876,0,200,702,969
29,2,0.233,1.4014,2.0969,0,339,676,969
29,3,-0.2589,3.7394,-1.9416,0,159,882,969
29,4,-5.3961,3.0751,-0.9636,0,189,894,969
29,5,4.0471,3.3302,-3.4689,0,189,894,969
30,1,0.1726,0.2167,-0.2531,0,211,704,1002
30,2,0.1611,1.4644,2.1745,0,355,661,1002
30,3,-0.2589,3.7394,-1.9416,0,159,881,1002
30,4,-5.3961,3.0751,-0.9636,0,191,893,1002
30,5,4.0471,3.3302,-3.4689,0,191,893,1002
31,1,0.1956,0.1961,-0.2531,0,186,746,1034
31,2,0.233,1.4014,2.0969,0,310,706,1034
31,3,-0.1294,3.7461,-1.9416,0,161,880,1034
31,4,-5.3961,3.0751,-0.9636,0,192,891,1034
31,5,4.2398,3.0811,-3.4689,0,192,891,1034
32,1,0.1956,0.1621,-0.2761,0,196,720,1068
32,2,0.233,1.4014,2.0969,0,337,680,1068
32,3,-0.2589,3.7394,-1.9416,0,161,879,1068
32,4,-5.3961,3.0751,-0.9636,0,190,891,1068
33,1,0.1841,0.207,-0.2531,0,215,709,1101
33,2,0.0115,0.1467,0.3452,0,215,709,1101
33,3,0.1553,1.2893,2.1745,0,348,670,1101
33,4,-0.2589,3.7394,-1.9416,0,161,879,1101
33,5,-5.2034,3.3302,-1.1563,0,189,890,1101
34,1,0.2071,0.167,-0.2646,0,211,711,1135
34,2,0.233,1.2775,2.1745,0,351,667,1135
34,3,0.6644,1.8736,2.373,0,156,752,1135
