frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.312,1.1523,2.3396,0,227,633,60
1,2,0.259,1.7189,2.3313,0,211,668,60
1,3,-1.3815,1.5013,2.0722,0,211,668,60
1,4,2.8549,2.1067,-1.4846,0,157,874,60
1,5,1.0361,4.9127,-2.9357,0,158,866,60
2,1,0.312,0.9782,2.4176,0,238,623,93
2,2,1.4818,1.5068,-1.5598,0,238,623,93
2,3,0.259,1.8302,2.2449,0,215,664,93
2,4,-1.3815,1.5013,2.0722,0,215,664,93
2,5,2.9691,1.8495,-1.5987,0,157,875,93
2,6,1.0361,4.9127,-2.9357,0,159,865,93
3,1,0.312,0.9782,2.4176,0,237,622,127
3,2,0.3454,1.8159,2.2449,0,220,659,127
3,3,-1.3815,1.5013,2.0722,0,220,659,127
3,4,2.8549,2.1067,-1.4846,0,157,874,127
3,5,1.0361,4.9127,-2.9357,0,158,866,127
4,1,0.3899,1.1283,2.3396,0,235,622,160
4,2,0.259,1.8302,2.2449,0,214,662,160
4,3,-1.3815,1.6138,1.9859,0,214,662,160
4,4,2.8549,2.1067,-1.4846,0,159,873,160
4,5,1.0361,4.9127,-2.9357,0,159,865,160
5,1,0.312,0.9782,2.4176,0,238,619,193
5,2,0.259,1.8302,2.2449,0,214,664,193
5,3,-1.3815,1.5013,2.0722,0,214,664,193
5,4,2.8549,2.1067,-1.4846,0,157,874,193
5,5,1.0361,4.9127,-2.9357,0,159,865,193
6,1,0.312,0.9782,2.4176,0,221,637,227
6,2,0.259,1.8302,2.2449,0,207,671,227
6,3,-1.3815,1.5013,2.0722,0,207,671,227
6,4,2.9691,1.8495,-1.5987,0,157,874,227
6,5,1.0361,4.9127,-2.9357,0,160,864,227
7,1,0.3899,1.1283,2.3396,0,234,626,260
7,2,0.259,1.8302,2.2449,0,207,671,260
7,3,-1.3815,1.5013,2.0722,0,207,671,260
7,4,2.9691,1.8495,-1.5987,0,158,873,260
7,5,1.0361,4.9127,-2.9357,0,159,865,260
8,1,0.312,1.1523,2.3396,0,240,617,293
8,2,0.259,1.8302,2.2449,0,221,655,293
8,3,-1.3815,1.6138,1.9859,0,221,655,293
8,4,-1.3815,1.5013,2.0722,0,221,655,293
8,5,2.9691,1.8495,-1.5987,0,158,873,293
8,6,1.0361,4.9127,-2.9357,0,160,864,293
9,1,0.312,0.9782,2.4176,0,224,633,327
9,2,0.259,1.8302,2.2449,0,213,666,327
9,3,-1.2952,1.7807,1.8996,0,213,666,327
9,4,2.8549,2.1067,-1.4846,0,159,873,327
9,5,1.0361,4.9127,-2.9357,0,160,864,327
10,1,0.3899,1.1283,2.3396,0,240,616,360
10,2,0.259,1.8302,2.2449,0,229,649,360
10,3,-1.3815,1.5013,2.0722,0,229,649,360
10,4,2.8549,2.1067,-1.4846,0,157,874,360
10,5,1.0361,4.9127,-2.9357,0,159,865,360
11,1,0.312,0.9782,2.4176,0,240,616,393
11,2,0.259,1.8302,2.2449,0,237,641,393
11,3,-1.3815,1.6138,1.9859,0,237,641,393
11,4,2.8549,2.1067,-1.4846,0,158,873,393
11,5,1.2088,4.8731,-2.9357,0,160,864,393
12,1,0.312,0.9782,2.4176,0,230,628,427
12,2,0.259,1.8302,2.2449,0,229,648,427
12,3,-1.2952,1.7807,1.8996,0,229,648,427
12,4,2.8549,2.1067,-1.4846,0,158,874,427
12,5,1.0361,4.9127,-2.9357,0,159,865,427
13,1,0.3899,1.1283,2.3396,0,253,606,460
13,2,0.259,1.8302,2.2449,0,240,638,460
13,3,-1.3815,1.5013,2.0722,0,240,638,460
13,4,2.8549,2.1067,-1.4846,0,157,875,460
13,5,1.0361,4.9127,-2.9357,0,160,864,460
14,1,0.3899,1.1283,2.3396,0,246,616,494
14,2,0.259,1.8302,2.2449,0,227,651,494
14,3,-1.3815,1.5013,2.0722,0,227,651,494
14,4,2.8549,2.1067,-1.4846,0,159,873,494
14,5,1.0361,4.9127,-2.9357,0,159,865,494
15,1,0.312,0.9782,2.4176,0,230,629,527
15,2,0.259,1.8302,2.2449,0,229,651,527
15,3,-1.4678,1.2816,2.1586,0,229,651,527
15,4,2.8549,2.1067,-1.4846,0,158,874,527
15,5,1.0361,4.9127,-2.9357,0,160,864,527
16,1,0.3899,1.1283,2.3396,0,232,626,560
16,2,0.259,1.8302,2.2449,0,221,659,560
16,3,-1.4678,1.2816,2.1586,0,221,659,560
16,4,2.9691,1.8495,-1.5987,0,158,874,560
16,5,1.0361,4.9127,-2.9357,0,160,864,560
17,1,0.3899,1.1283,2.3396,0,242,614,594
17,2,0.259,1.8302,2.2449,0,221,659,594
17,3,-1.4678,1.2816,2.1586,0,221,659,594
17,4,2.8549,2.1067,-1.4846,0,159,873,594
17,5,1.0361,4.9127,-2.9357,0,160,864,594
18,1,0.3899,1.1283,2.3396,0,211,647,626
18,2,0.259,1.8302,2.2449,0,217,661,626
18,3,-1.4678,1.1235,2.2449,0,217,661,626
18,4,2.8549,2.1067,-1.4846,0,159,873,626
18,5,1.0361,4.9127,-2.9357,0,160,864,626
19,1,0.3899,1.1283,2.3396,0,217,641,660
19,2,0.259,1.8302,2.2449,0,208,670,660
19,3,-1.4678,1.2816,2.1586,0,208,670,660
19,4,2.9691,1.8495,-1.5987,0,160,872,660
19,5,1.0361,4.9127,-2.9357,0,160,864,660
20,1,0.4679,1.251,2.2616,0,230,630,693
20,2,0.259,1.8302,2.2449,0,231,649,693
20,3,-1.4678,1.2816,2.1586,0,231,649,693
20,4,2.9691,1.8495,-1.5987,0,158,874,693
20,5,1.0361,4.9127,-2.9357,0,159,865,693
21,1,0.3899,1.1283,2.3396,0,215,642,727
21,2,1.4818,1.5068,-1.5598,0,215,642,727
21,3,0.259,1.8302,2.2449,0,211,667,727
21,4,-1.4678,1.2816,2.1586,0,211,667,727
21,5,2.8549,2.1067,-1.4846,0,159,873,727
21,6,1.0361,4.9127,-2.9357,0,161,863,727
22,1,0.3899,1.1283,2.3396,0,214,645,760
22,2,0.259,1.8302,2.2449,0,214,666,760
22,3,-1.4678,1.2816,2.1586,0,214,666,760
22,4,2.8549,2.1067,-1.4846,0,158,874,760
22,5,1.0361,4.9127,-2.9357,0,161,863,760
23,1,0.3899,1.1283,2.3396,0,227,629,794
23,2,0.259,1.8302,2.2449,0,204,673,794
23,3,-1.4678,1.2816,2.1586,0,204,673,794
23,4,2.9691,1.8495,-1.5987,0,160,872,794
23,5,1.0361,4.9127,-2.9357,0,160,863,794
24,1,-1.9859,0.8035,0.2562,0,166,612,827
24,2,0.4679,1.251,2.2616,0,226,631,827
24,3,0.259,1.8302,2.2449,0,199,681,827
24,4,-1.3815,1.5013,2.0722,0,199,681,827
24,5,2.9691,1.8495,-1.5987,0,158,874,827
24,6,1.0361,4.9127,-2.9357,0,160,864,827
25,1,-1.9218,0.9616,0.1922,0,150,608,860
25,2,0.3899,1.1283,2.3396,0,234,622,860
25,3,1.5598,1.426,-1.5598,0,234,622,860
25,4,0.259,1.8302,2.2449,0,215,663,860
25,5,-1.4678,1.2816,2.1586,0,215,663,860
25,6,2.8549,2.1067,-1.4846,0,160,872,860
25,7,1.0361,4.9127,-2.9357,0,159,864,860
26,1,-2.0054,1.0145,0.1337,0,159,598,893
26,2,0.3899,1.1283,2.3396,0,236,616,893
26,3,1.5598,1.3357,-1.6377,0,236,616,893
26,4,0.259,1.8302,2.2449,0,211,669,893
26,5,-1.4678,1.1235,2.2449,0,211,669,893
26,6,2.8549,2.1067,-1.4846,0,160,872,893
26,7,1.0361,4.9127,-2.9357,0,159,864,893
27,1,0.3899,1.1283,2.3396,0,225,624,927
27,2,1.6377,1.2388,-1.6377,0,225,624,927
27,3,0.259,1.8302,2.2449,0,212,668,927
27,4,-1.5542,0.7786,2.3313,0,212,668,927
27,5,2.8549,2.1067,-1.4846,0,161,872,927
27,6,1.0361,4.9127,-2.9357,0,160,863,927
28,1,-2.1391,0.6729,0.2005,0,158,615,960
28,2,0.4679,1.251,2.2616,0,216,633,960
28,3,1.7157,1.0058,-1.7157,0,216,633,960
28,4,0.259,1.9313,2.1586,0,202,678,960
