frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999447,-0.00693337,0.0325358,-0.000217756,-0.632053,-0.148842,9.79098,0.0696104,-0.515045,0.982965,-0.00632165,-0.00149706,0.0979096,1,4.3448e-05,-5.90837e-06,1.07959e-05,0.00868961,-0.00118167,0.00215918,0.999447,-0.00693337,0.0325358,-0.000217756,0.0655748,0.530322,-0.970317,31.25,1,48318,11432635
1,2,0.999447,-0.00688489,0.0325358,-0.000178766,-0.590875,-0.102575,9.80026,0.108923,-0.472264,0.988567,-0.00591084,-0.00103532,0.0980023,1,4.77731e-05,-1.08501e-05,1.75964e-05,0.00955462,-0.00217002,0.00351928,0.999447,-0.00688489,0.0325358,-0.000178766,0.0659781,0.531339,-0.972822,31.25,1,48319,11432735
1,3,0.999448,-0.00678536,0.0325101,-0.00015184,-0.660828,-0.105733,9.78612,0.0345586,-0.475974,0.982786,-0.00661239,-0.00106725,0.0978608,1,4.92447e-05,-2.12269e-05,2.17051e-05,0.00984894,-0.00424538,0.00434102,0.999448,-0.00678536,0.0325101,-0.00015184,0.0650596,0.526496,-0.974441,31.25,1,48321,11432935
1,4,0.99945,-0.00671379,0.0324706,-0.000119014,-0.616896,-0.129081,9.79478,0.0821652,-0.496374,0.990841,-0.00617024,-0.00129942,0.0979476,1,4.32432e-05,-6.72232e-06,1.1187e-05,0.00864864,-0.00134446,0.00223741,0.99945,-0.00671379,0.0324706,-0.000119014,0.0646767,0.524983,-0.971442,31.25,1,48323,11433135
2,1,0.999451,-0.00662425,0.0324509,-9.35059e-05,-0.634688,-0.112347,9.79708,0.0610385,-0.483457,0.986285,-0.00634861,-0.00113337,0.0979705,1,4.94812e-05,-9.0391e-06,1.60599e-05,0.00989624,-0.00180782,0.00321198,0.999451,-0.00662425,0.0324509,-9.35059e-05,0.0669646,0.529867,-0.972859,31.25,1,48325,11433335
2,2,0.999452,-0.00655522,0.0324346,-6.18898e-05,-0.636052,-0.119665,9.79125,0.0579648,-0.491898,0.990526,-0.00636285,-0.00120504,0.0979123,1,4.08606e-05,-1.2301e-05,2.99553e-05,0.00817212,-0.0024602,0.00599107,0.999452,-0.00655522,0.0324346,-6.18898e-05,0.0640438,0.526061,-0.976971,31.25,1,48327,11433535
2,3,0.999453,-0.00652038,0.0324095,-4.72465e-05,-0.636709,-0.149668,9.78321,0.060247,-0.524132,0.983365,-0.00637196,-0.00150348,0.0978317,1,3.37567e-05,-2.51028e-05,1.54415e-05,0.00675134,-0.00502056,0.0030883,0.999453,-0.00652038,0.0324095,-4.72465e-05,0.0631717,0.52504,-0.973959,31.25,1,48328,11433635
2,4,0.999455,-0.00644296,0.0323771,-2.66004e-05,-0.630095,-0.150693,9.80318,0.0616196,-0.530093,0.99779,-0.00630558,-0.00151513,0.0980313,1,4.03803e-05,-2.39775e-05,2.2611e-05,0.00807607,-0.0047955,0.00452219,0.999455,-0.00644296,0.0323771,-2.66004e-05,0.0675231,0.527398,-0.971402,31.25,1,48330,11433835
3,1,0.999456,-0.00636154,0.0323596,3.60147e-06,-0.639227,-0.0961799,9.79046,0.0582146,-0.470384,0.985815,-0.00639406,-0.000967497,0.0979045,1,2.82508e-05,-9.31685e-06,1.30086e-05,0.00565017,-0.00186337,0.00260172,0.999456,-0.00636154,0.0323596,3.60147e-06,0.0659321,0.528963,-0.97641,31.25,1,48332,11434035
3,2,0.999457,-0.00629248,0.0323311,5.10415e-05,-0.611783,-0.145013,9.77967,0.0878919,-0.522667,0.972033,-0.00611986,-0.00145684,0.0977965,1,3.249e-05,-1.08218e-05,2.86048e-05,0.00649801,-0.00216437,0.00572096,0.999457,-0.00629248,0.0323311,5.10415e-05,0.0651697,0.523524,-0.971982,31.25,1,48334,11434235
3,3,0.999459,-0.00621828,0.0322984,6.81567e-05,-0.650686,-0.128427,9.78349,0.0374831,-0.502915,0.976885,-0.00651269,-0.00128995,0.0978345,1,2.84164e-05,-2.99571e-05,8.95706e-06,0.00568329,-0.00599141,0.00179141,0.999459,-0.00621828,0.0322984,6.81567e-05,0.0656645,0.527847,-0.968353,31.25,1,48336,11434435
3,4,0.99946,-0.00612698,0.0322946,8.64266e-05,-0.602494,-0.114937,9.80836,0.0983647,-0.505751,0.998178,-0.00602342,-0.00115878,0.0980836,1,4.79184e-05,7.71889e-06,1.13644e-06,0.00958368,0.00154378,0.000227289,0.99946,-0.00612698,0.0322946,8.64266e-05,0.0659079,0.530426,-0.976377,31.25,1,48338,11434635
4,1,0.99946,-0.00608291,0.0323029,0.000110413,-0.644487,-0.0993142,9.79317,0.0529282,-0.485875,0.993892,-0.00644308,-0.00100196,0.0979317,1,4.33084e-05,8.8679e-06,2.6336e-05,0.00866167,0.00177358,0.0052672,0.99946,-0.00608291,0.0323029,0.000110413,0.0650473,0.526505,-0.974945,31.25,1,48339,11434735
4,2,0.999461,-0.00601505,0.0322745,0.000138928,-0.637169,-0.164561,9.79733,0.0565358,-0.552831,0.994761,-0.00637635,-0.00165223,0.0979729,1,3.25497e-05,-2.40859e-05,1.9122e-05,0.00650994,-0.00481718,0.0038244,0.999461,-0.00601505,0.0322745,0.000138928,0.0647099,0.525922,-0.969401,31.25,1,48341,11434935
4,3,0.999463,-0.00592804,0.0322338,0.000162127,-0.620594,-0.126969,9.79618,0.0724564,-0.513164,0.984071,-0.00621021,-0.00127918,0.0979614,1,4.79818e-05,-2.19174e-05,7.64106e-06,0.00959637,-0.00438348,0.00152821,0.999463,-0.00592804,0.0322338,0.000162127,0.0664507,0.530377,-0.973856,31.25,1,48343,11435135
4,4,0.999464,-0.00584257,0.032222,0.000189389,-0.645361,-0.103058,9.79383,0.0492005,-0.49324,0.986765,-0.00645377,-0.00103815,0.0979382,1,3.79645e-05,-9.33212e-07,1.0196e-05,0.00759289,-0.000186642,0.00203919,0.999464,-0.00584257,0.032222,0.000189389,0.0655037,0.526519,-0.975957,31.25,1,48345,11435335
5,1,0.999465,-0.00577059,0.0321874,0.000212358,-0.635372,-0.150738,9.7842,0.0572899,-0.541584,0.980922,-0.00635744,-0.00151477,0.0978417,1,3.71281e-05,-1.91722e-05,9.50692e-06,0.00742562,-0.00383444,0.00190138,0.999465,-0.00577059,0.0321874,0.000212358,0.0647057,0.525444,-0.969917,31.25,1,48347,11435535
5,2,0.999465,-0.00572938,0.0321909,0.000211642,-0.652605,-0.130092,9.79704,0.0456328,-0.520833,0.986936,-0.00652544,-0.00130908,0.0979704,1,4.16209e-05,3.08791e-06,4.97062e-07,0.00832417,0.000617582,9.94124e-05,0.999465,-0.00572938,0.0321909,0.000211642,0.0665898,0.527866,-0.969872,31.25,1,48348,11435635
5,3,0.999466,-0.00565544,0.0321752,0.000235802,-0.61657,-0.134826,9.79981,0.0804251,-0.529018,0.989334,-0.00616671,-0.00135759,0.0979979,1,4.70708e-05,-5.30479e-06,8.25008e-06,0.00941417,-0.00106096,0.00165002,0.999466,-0.00565544,0.0321752,0.000235802,0.0654714,0.52847,-0.975914,31.25,1,48350,11435835
5,4,0.999467,-0.00557275,0.0321513,0.000277226,-0.652185,-0.126208,9.78351,0.0333501,-0.524131,0.979341,-0.00652599,-0.00127015,0.0978348,1,3.95496e-05,-2.14819e-05,2.55721e-05,0.00790993,-0.00429637,0.00511443,0.999467,-0.00557275,0.0321513,0.000277226,0.0641548,0.52598,-0.972428,31.25,1,48352,11436035
6,1,0.999468,-0.00550287,0.0321389,0.000299058,-0.623373,-0.129224,9.79888,0.0718172,-0.53317,0.99122,-0.00623474,-0.00129824,0.0979887,1,3.02177e-05,-5.25442e-06,6.09467e-06,0.00604354,-0.00105088,0.00121893,0.999468,-0.00550287,0.0321389,0.000299058,0.0661167,0.527383,-0.96988,31.25,1,48354,11436235
