frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.3222,1.4376,2.1745,0,357,686,12
1,2,-0.9463,4.2291,-0.8111,0,157,913,12
1,3,-2.9742,2.3046,-2.2982,0,157,913,12
1,4,-3.1094,2.2565,-2.163,0,157,913,12
2,1,0.3222,1.4376,2.1745,0,382,662,47
2,2,-0.9463,4.2291,-0.8111,0,156,915,47
2,3,-2.9742,2.3046,-2.2982,0,156,915,47
3,1,0.2416,1.4533,2.1745,0,375,669,79
3,2,-0.8111,4.2291,-0.9463,0,158,914,79
3,3,-2.9742,2.3046,-2.2982,0,158,914,79
4,1,0.2416,1.3249,2.2551,0,377,667,112
4,2,-0.9463,4.2291,-0.8111,0,157,915,112
4,3,-2.9742,2.3046,-2.2982,0,157,915,112
5,1,0.3222,1.4376,2.1745,0,373,670,146
5,2,-0.8111,4.2291,-0.9463,0,157,914,146
5,3,-2.9742,2.3046,-2.2982,0,157,914,146
6,1,0.2416,1.4533,2.1745,0,364,680,179
6,2,-0.9463,4.2291,-0.8111,0,156,916,179
6,3,-2.9742,2.3046,-2.2982,0,156,916,179
7,1,0.2416,1.3249,2.2551,0,374,670,212
7,2,-0.8111,4.2291,-0.9463,0,155,916,212
7,3,-2.9742,2.3046,-2.2982,0,155,916,212
8,1,0.2416,1.3249,2.2551,0,377,666,246
8,2,-0.8111,4.2291,-0.9463,0,156,915,246
8,3,-2.9742,2.3046,-2.2982,0,156,915,246
9,1,0.3222,1.4376,2.1745,0,376,667,279
9,2,-0.9463,4.2291,-0.8111,0,156,915,279
9,3,-2.9742,2.3046,-2.2982,0,156,915,279
10,1,0.3222,1.4376,2.1745,0,376,668,313
10,2,-0.9463,4.2291,-0.8111,0,156,915,313
10,3,-2.9742,2.3046,-2.2982,0,156,915,313
11,1,0.2416,1.3249,2.2551,0,377,666,347
11,2,-0.8111,4.2291,-0.9463,0,156,915,347
11,3,-2.9742,2.3046,-2.2982,0,156,915,347
12,1,0.2416,1.3249,2.2551,0,382,662,379
12,2,-0.8111,4.2291,-0.9463,0,156,915,379
12,3,-2.9742,2.3046,-2.2982,0,156,915,379
13,1,0.3222,1.4376,2.1745,0,367,676,412
13,2,-0.8111,4.2291,-0.9463,0,157,914,412
13,3,-2.9742,2.3046,-2.2982,0,157,914,412
14,1,0.2416,1.3249,2.2551,0,359,684,446
14,2,-0.8111,4.2291,-0.9463,0,154,916,446
14,3,-2.9742,2.3046,-2.2982,0,154,916,446
15,1,0.2416,1.3249,2.2551,0,367,677,479
15,2,-0.8111,4.2291,-0.9463,0,156,915,479
15,3,-2.9742,2.3046,-2.2982,0,156,915,479
16,1,0.2416,1.3249,2.2551,0,378,666,512
16,2,-0.8111,4.2291,-0.9463,0,155,915,512
16,3,-2.9742,2.3046,-2.2982,0,155,915,512
17,1,0.2416,1.3249,2.2551,0,362,681,546
17,2,-0.9463,4.2291,-0.8111,0,156,915,546
17,3,-2.9742,2.3046,-2.2982,0,156,915,546
18,1,0.2416,1.3249,2.2551,0,371,673,580
18,2,-0.8111,4.2291,-0.9463,0,156,915,580
18,3,-2.9742,2.3046,-2.2982,0,156,915,580
19,1,0.2416,1.4533,2.1745,0,359,684,613
19,2,-0.8111,4.2291,-0.9463,0,156,915,613
19,3,-2.9742,2.3046,-2.2982,0,156,915,613
20,1,0.2416,1.3249,2.2551,0,389,655,647
20,2,-0.8111,4.2291,-0.9463,0,157,915,647
20,3,-2.9742,2.3046,-2.2982,0,157,915,647
21,1,0.3222,1.4376,2.1745,0,361,683,680
21,2,-0.9463,4.2291,-0.8111,0,156,915,680
21,3,-2.9742,2.3046,-2.2982,0,156,915,680
22,1,0.2416,1.3249,2.2551,0,376,668,712
22,2,-0.9463,4.2291,-0.8111,0,157,914,712
22,3,-2.9742,2.3046,-2.2982,0,157,914,712
23,1,0.2416,1.3249,2.2551,0,368,675,746
23,2,-0.9463,4.2291,-0.8111,0,156,916,746
23,3,-2.9742,2.3046,-2.2982,0,156,916,746
24,1,0.3222,1.4376,2.1745,0,366,677,779
24,2,-0.8111,4.2291,-0.9463,0,156,915,779
24,3,-2.9742,2.3046,-2.2982,0,156,915,779
25,1,0.3222,1.4376,2.1745,0,365,679,813
25,2,-0.8111,4.2291,-0.9463,0,157,915,813
25,3,-2.9742,2.3046,-2.2982,0,157,915,813
26,1,0.3222,1.4376,2.1745,0,371,673,846
26,2,-0.8111,4.2291,-0.9463,0,157,915,846
26,3,-2.9742,2.3046,-2.2982,0,157,915,846
27,1,0.2416,1.4533,2.1745,0,390,653,879
27,2,-0.8111,4.2291,-0.9463,0,156,915,879
27,3,-2.9742,2.3046,-2.2982,0,156,915,879
28,1,0.2416,1.4533,2.1745,0,384,660,912
28,2,0.2416,1.3249,2.2551,0,384,660,912
28,3,-0.8111,4.2291,-0.9463,0,156,915,912
28,4,-2.9742,2.3046,-2.2982,0,156,915,912
29,1,0.2416,1.4533,2.1745,0,396,647,946
29,2,-0.9463,4.2291,-0.8111,0,157,914,946
29,3,-2.9742,2.3046,-2.2982,0,157,914,946
30,1,0.3222,1.4376,2.1745,0,399,644,979
30,2,-0.8111,4.2291,-0.9463,0,158,913,979
30,3,-2.9742,2.3046,-2.2982,0,158,913,979
31,1,0.3222,1.4376,2.1745,0,380,663,1013
31,2,-0.8111,4.2291,-0.9463,0,156,915,1013
31,3,-2.9742,2.3046,-2.2982,0,156,915,1013
32,1,0.2416,1.3249,2.2551,0,380,663,1047
32,2,-0.8111,4.2291,-0.9463,0,156,916,1047
32,3,-2.9742,2.3046,-2.2982,0,156,916,1047
33,1,0.2416,1.4533,2.1745,0,377,666,1080
33,2,-0.8111,4.2291,-0.9463,0,156,915,1080
33,3,-2.9742,2.3046,-2.2982,0,156,915,1080
34,1,0.3222,1.4376,2.1745,0,378,665,1112
34,2,-0.8111,4.2291,-0.9463,0,156,915,1112
34,3,-2.9742,2.3046,-2.2982,0,156,915,1112
35,1,0.2416,1.4533,2.1745,0,375,667,1146
35,2,-0.9463,4.2291,-0.8111,0,155,916,1146
35,3,-2.9742,2.3046,-2.2982,0,155,916,1146
36,1,0.2416,1.4533,2.1745,0,373,670,1179
36,2,-0.9463,4.2291,-0.8111,0,157,914,1179
36,3,-2.9742,2.3046,-2.2982,0,157,914,1179
37,1,0.2416,1.3249,2.2551,0,377,666,1212
37,2,-0.8111,4.2291,-0.9463,0,156,915,1212
37,3,-2.9742,2.3046,-2.2982,0,156,915,1212
38,1,0.233,1.2775,2.1745,0,356,687,1246
38,2,-0.8111,4.2291,-0.9463,0,156,915,1246
38,3,-2.9742,2.3046,-2.2982,0,156,915,1246
39,1,0.3106,1.3862,2.0969,0,371,671,1279
39,2,0.2416,1.4533,2.1745,0,386,657,1279
39,3,-0.8111,4.2291,-0.9463,0,155,915,1279
39,4,-2.9742,2.3046,-2.2982,0,155,915,1279
40,1,0.2416,1.4533,2.1745,0,365,678,1312
40,2,-0.9463,4.2291,-0.8111,0,155,915,1312
40,3,-2.9742,2.3046,-2.2982,0,155,915,1312
41,1,0.3222,1.4376,2.1745,0,389,654,1346
41,2,-0.9463,4.2291,-0.8111,0,156,914,1346
41,3,-2.9742,2.3046,-2.2982,0,156,914,1346
42,1,0.2416,1.4533,2.1745,0,400,643,1379
42,2,-0.9463,4.2291,-0.8111,0,155,916,1379
42,3,-2.9742,2.3046,-2.2982,0,155,916,1379
43,1,0.2416,1.4533,2.1745,0,387,656,1413
43,2,-0.8111,4.2291,-0.9463,0,155,915,1413
43,3,-2.9742,2.3046,-2.2982,0,155,915,1413
44,1,0.2416,1.3249,2.2551,0,381,662,1447
44,2,-0.8111,4.2291,-0.9463,0,155,915,1447
44,3,-2.9742,2.3046,-2.2982,0,155,915,1447
45,1,0.3222,1.4376,2.1745,0,372,671,1480
45,2,-0.8111,4.2291,-0.9463,0,156,915,1480
45,3,-2.9742,2.3046,-2.2982,0,156,915,1480
46,1,0.2416,1.3249,2.2551,0,385,658,1512
46,2,-0.8111,4.2291,-0.9463,0,156,915,1512
46,3,-2.9742,2.3046,-2.2982,0,156,915,1512
47,1,0.3222,1.4376,2.1745,0,377,666,1546
47,2,0.2416,1.3249,2.2551,0,377,666,1546
47,3,-0.8111,4.2291,-0.9463,0,155,915,1546
