frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.1553,1.1483,2.2522,0,290,687,16
1,2,0,1.8072,2.1573,0,227,660,16
1,3,-5.4766,3.0528,-1.1736,0,164,908,16
2,1,0.1553,1.1483,2.2522,0,298,674,49
2,2,0,1.6989,2.2436,0,224,663,49
2,3,-5.281,3.3055,-1.3692,0,170,907,49
3,1,0.1553,1.1483,2.2522,0,315,656,83
3,2,0,1.6989,2.2436,0,230,657,83
3,3,-5.281,3.3055,-1.3692,0,169,908,83
4,1,0.1553,1.1483,2.2522,0,300,671,116
4,2,0.0863,1.6967,2.2436,0,232,656,116
4,3,-5.281,3.3055,-1.3692,0,170,908,116
5,1,0.1553,1.1483,2.2522,0,293,678,149
5,2,0,1.6989,2.2436,0,251,636,149
5,3,-5.281,3.3055,-1.3692,0,170,909,149
6,1,0.1553,1.1483,2.2522,0,282,689,183
6,2,0,1.6989,2.2436,0,237,647,183
6,3,-5.281,3.3055,-1.3692,0,169,909,183
7,1,0.1553,1.1483,2.2522,0,305,667,217
7,2,0,1.6989,2.2436,0,234,655,217
7,3,-5.4766,3.0528,-1.1736,0,170,907,217
8,1,0.1553,1.1483,2.2522,0,300,673,250
8,2,0,1.6989,2.2436,0,236,652,250
8,3,-5.4766,3.0528,-1.1736,0,169,907,250
9,1,0.1553,1.1483,2.2522,0,286,687,283
9,2,-0.0863,1.6967,2.2436,0,233,652,283
9,3,-5.4766,3.0528,-1.1736,0,171,905,283
10,1,0.1553,1.1483,2.2522,0,291,683,316
10,2,-5.4766,3.0528,-1.1736,0,167,907,316
11,1,0.1553,1.1483,2.2522,0,290,686,349
11,2,-5.4766,3.0528,-1.1736,0,161,911,349
12,1,0.1553,1.1483,2.2522,0,290,687,382
12,2,-0.0863,1.8051,2.1573,0,223,666,382
12,3,-5.4766,3.0528,-1.1736,0,161,910,382
13,1,0.1553,1.1483,2.2522,0,290,687,416
13,2,-5.4766,3.0528,-1.1736,0,159,912,416
14,1,0.1553,1.1483,2.2522,0,295,684,449
14,2,-5.4766,3.121,-0.978,0,155,912,449
15,1,0.233,1.2775,2.1745,0,297,685,483
15,2,-5.4766,3.121,-0.978,0,155,908,483
16,1,0.233,1.2775,2.1745,0,297,686,516
16,2,-5.4766,3.121,-0.978,0,159,903,516
17,1,0.233,1.2775,2.1745,0,271,714,550
17,2,-5.4766,3.121,-0.978,0,156,906,550
18,1,-0.1266,0.234,-0.2646,0,157,711,584
18,2,0.233,1.2775,2.1745,0,309,675,584
18,3,-5.4766,3.121,-0.978,0,159,903,584
19,1,0.233,1.2775,2.1745,0,299,685,616
19,2,-5.4766,3.121,-0.978,0,158,905,616
20,1,0.233,1.2775,2.1745,0,296,685,649
20,2,-5.4766,3.121,-0.978,0,154,911,649
21,1,0.1553,1.1483,2.2522,0,307,671,683
21,2,-5.4766,3.0528,-1.1736,0,159,911,683
22,1,0.1553,1.1483,2.2522,0,285,690,716
22,2,-0.0863,1.6967,2.2436,0,222,667,716
22,3,-5.4766,3.0528,-1.1736,0,166,908,716
23,1,0.1553,1.1483,2.2522,0,287,687,749
23,2,-0.0863,1.8051,2.1573,0,219,664,749
23,3,-5.4766,3.0528,-1.1736,0,172,903,749
24,1,0.1553,1.1483,2.2522,0,301,671,783
24,2,0,1.8072,2.1573,0,246,642,783
24,3,-5.281,3.3055,-1.3692,0,172,905,783
25,1,0.1553,1.1483,2.2522,0,306,666,816
25,2,0,1.8072,2.1573,0,236,644,816
25,3,-5.281,3.3055,-1.3692,0,169,908,816
26,1,0.1553,1.1483,2.2522,0,303,668,850
26,2,0,1.6989,2.2436,0,239,647,850
26,3,-5.281,3.3055,-1.3692,0,170,909,850
27,1,0.1553,1.1483,2.2522,0,283,687,884
27,2,0.0863,1.6967,2.2436,0,230,654,884
27,3,-5.281,3.3055,-1.3692,0,171,909,884
28,1,0.1553,1.1483,2.2522,0,286,682,917
28,2,0.0863,1.8051,2.1573,0,220,656,917
28,3,-5.4766,3.0528,-1.1736,0,169,912,917
29,1,0.1553,1.1483,2.2522,0,285,683,949
29,2,0.0863,1.6967,2.2436,0,218,662,949
29,3,-1.1218,2.4001,0.9492,0,218,662,949
29,4,-5.4766,3.0528,-1.1736,0,169,911,949
30,1,0.1553,1.1483,2.2522,0,311,657,983
30,2,0.1726,1.7989,2.1573,0,232,641,983
30,3,-5.4766,3.0528,-1.1736,0,170,910,983
31,1,0.1553,1.1483,2.2522,0,283,684,1016
31,2,0.1726,1.6901,2.2436,0,214,667,1016
31,3,-5.4766,3.0528,-1.1736,0,170,910,1016
32,1,0.1553,1.1483,2.2522,0,301,667,1049
32,2,0.1726,1.6901,2.2436,0,255,630,1049
32,3,-5.4766,3.0528,-1.1736,0,169,911,1049
33,1,0.1553,1.1483,2.2522,0,280,690,1083
33,2,0.0863,1.8051,2.1573,0,241,646,1083
33,3,1.4238,2.2253,1.6136,0,151,736,1083
33,4,-5.281,3.3055,-1.3692,0,169,910,1083
34,1,0.1553,1.1483,2.2522,0,301,673,1116
34,2,-0.0863,1.9035,2.071,0,235,645,1116
34,3,-5.4766,3.0528,-1.1736,0,168,907,1116
35,1,0.233,1.2775,2.1745,0,294,686,1149
35,2,0.3106,1.8685,2.7958,0,151,836,1149
35,3,-5.4766,3.121,-0.978,0,155,909,1149
36,1,0.233,1.2775,2.1745,0,301,686,1183
36,2,-5.281,3.3799,-1.1736,0,151,911,1183
36,3,-5.4766,3.121,-0.978,0,151,911,1183
37,1,0.233,1.2775,2.1745,0,309,684,1216
37,2,-5.281,3.3055,-1.3692,0,159,906,1216
38,1,0.233,1.2775,2.1745,0,337,661,1250
39,1,0.233,1.2775,2.1745,0,326,675,1283
40,1,0.233,1.2775,2.1745,0,312,690,1317
